"cid","branch_amount_1","branch_amount_2","branch_amount_3","branch_amount_4","promo","days_clients","branches","promos_sent","promos_buys","prod_unit","flagret","buy_frecuency","state","county","mid","date_birth"
55600088723,0,0,782.08,0,15,145,1,4,0,39.51,0,145,"IN",471,1944903,12/28/31
55600089274,0,0,79,0,6,447,1,4,1,100,0,447,"OK",741,229102,05/30/52
55600093031,0,0,318.5,0,14,264,1,3,0,50.42,0,264,"WV",261,741301,12/09/68
55600093053,0,0,922.36,741.1,26,684,2,11,7,16.97,0,57,"NJ",70,176003,06/01/66
55600099772,0,0,486.16,145.92,25,698,3,8,2,26.22,0,99.71,"FL",324,715102,"NA"
55600102456,0,160.99,12,0,3,118,2,0,0,26.78,0,118,"MD",206,1181101,11/18/40
55600111322,0,75.99,30.39,0,15,369,3,8,2,5.02,1,73.8,"ME",43,1154903,02/15/69
55600113010,0,49.98,37.5,0,3,276,2,0,0,74.69,0,276,"NJ",77,749503,02/05/80
55600113573,0,469.42,21.75,0,16,352,2,4,1,18.29,0,88,"NC",271,850703,06/30/88
55600114505,0,74.22,32.99,0,5,271,2,0,0,100,0,67.75,"PA",196,429902,01/04/82
55600120344,0,109.98,49,0,15,685,3,7,0,29.16,0,342.5,"MI",481,98203,06/07/82
55600125936,0,0,489.93,0,15,468,1,6,1,36.52,0,468,"NC",288,1915301,11/03/50
55600129594,0,0,99,0,6,269,1,0,0,100,0,269,"MN",553,501803,07/18/54
55600131346,0,122.39,18,0,16,342,2,5,0,46.09,0,342,"NY",101,1914702,"NA"
55600134792,0,173.24,14.99,1062,27,586,5,9,3,18.5,1,73.25,"CA",950,269501,04/24/89
55600136390,0,431.95,160,0,19,702,4,10,5,19.77,0,70.2,"FL",338,502202,12/30/67
55600139087,0,450.82,87.99,0,15,380,2,8,0,25.05,1,126.66,"TX",776,1286801,02/19/59
55600139090,0,249.46,6,0,8,76,2,3,0,57.23,0,76,"FL",344,936903,12/28/48
55600140731,0,391.25,151.99,0,22,522,2,10,2,11.76,1,130.5,"MD",209,531802,02/16/62
55600142182,0,457.73,43.5,0,20,684,2,10,5,23.63,1,76,"NJ",71,1849801,03/09/32
55600142542,0,532.96,44.98,0,16,518,2,9,2,20.12,1,86.33,"NM",884,533803,09/17/51
55600144951,0,0,366,39.98,19,362,2,6,2,33.28,0,90.5,"IN",479,1484002,04/18/49
55600151070,0,48,411.48,0,15,687,2,8,3,18.69,1,114.5,"IL",613,324001,09/17/65
55600152622,0,16,98,0,12,588,2,4,1,74.94,0,588,"ID",837,1404302,05/14/65
55600154714,0,0,83.97,0,1,78,1,0,0,100,0,78,"NJ",86,207002,12/19/60
55600157764,0,784.59,85.49,0,9,265,2,2,0,27.78,0,29.44,"OH",430,68901,05/18/59
55600157887,0,41.88,202.99,0,23,563,4,10,2,77.31,0,112.6,"CA",945,1886101,08/18/29
55600159283,0,231.92,42.06,0,9,639,3,1,0,22.26,1,106.5,"IN",461,366501,09/30/57
55600160081,0,15.24,994.69,340.43,25,693,5,10,5,28.8,1,46.2,"NH",30,1832303,"NA"
55600161284,0,0,96,0,10,660,1,4,1,92.09,0,660,"CO",800,122603,08/17/61
55600162825,0,0,786.9,0,28,663,3,10,0,19.28,0,110.5,"OH",441,101003,09/08/50
55600170284,0,393.93,15,0,18,690,3,10,2,24.06,1,138,"IL",606,1989402,04/07/35
55600170543,0,23.99,217.45,0,7,248,3,0,0,43.95,1,41.33,"VT",56,115802,12/06/65
55600172916,0,11.69,202.48,0,6,271,2,0,0,58.82,0,271,"OH",441,411603,09/12/68
55600175447,0,10,107.99,0,16,364,2,4,0,34.21,0,364,"LA",700,1583503,"NA"
55600178701,0,1160.34,27.99,0,17,500,3,9,5,6.88,1,45.45,"KY",402,699502,07/09/69
55600185293,0,0,170.48,0,18,474,1,9,1,59.8,0,237,"TN",371,1120103,12/18/48
55600185325,0,15,267.45,0,19,677,3,6,1,29.59,0,338.5,"TX",752,1258002,10/25/41
55600189040,492.98,0,19.99,0,18,529,2,7,2,47.33,0,88.16,"PA",186,903902,05/27/32
55600193584,0,815.35,18.61,0,21,693,2,8,2,22.72,0,138.6,"MA",20,182501,06/12/54
55600195250,0,0,234.99,0,23,701,1,9,1,32.35,0,701,"WV",265,1788901,02/16/46
55600196475,0,143.46,99.97,0,6,363,2,0,0,37.35,0,121,"TN",382,764003,07/05/74
55600197072,0,0,459.98,0,17,543,2,7,1,17.44,0,181,"PA",170,1351602,11/09/44
55600199863,0,49.98,182.91,0,20,322,2,5,0,57.57,0,322,"NY",102,1331001,"NA"
55600202785,0,176.49,292.38,0,13,314,3,4,1,38.72,0,78.5,"FL",341,1608202,08/06/48
55600207151,6.5,0,89.73,0,7,344,3,0,0,9.65,1,114.66,"TX",770,1806101,04/20/60
55600208772,0,631.94,531.85,0,22,607,3,9,3,19.23,1,60.7,"WY",820,1346702,10/30/73
55600210085,0,7.5,249.59,0,1,269,2,0,0,22.43,1,53.8,"NY",110,1999502,12/04/51
55600210603,0,295.46,157,0,21,691,2,9,3,14.52,0,115.16,"IN",465,692002,01/16/72
55600210784,0,0,182.5,0,10,610,1,3,0,39.85,0,610,"GA",300,1872502,08/25/50
55600211402,0,150.5,99.6,0,8,236,2,2,1,19.2,0,47.2,"MD",207,720403,12/17/64
55600211817,0,0,300.94,0,22,546,2,10,1,32.25,0,182,"MO",652,1821803,07/24/75
55600211976,0,7.44,1554.86,0,28,689,3,10,6,17.22,1,57.41,"IN",477,1858103,05/14/79
55600213617,5,1659.84,433.86,0,20,685,5,11,8,14,1,27.4,"MA",12,484901,08/21/57
55600216555,479.41,0,42.59,0,18,648,2,8,4,6.03,1,38.11,"MA",27,1190403,04/28/45
55600221212,39.99,0,240.99,0,4,266,2,0,0,27.43,0,133,"WI",537,1171001,06/17/59
55600228020,0,224.13,58.24,0,1,54,2,0,0,65.98,0,27,"CO",801,2100901,01/29/53
55600228864,0,343.4,9.49,0,8,581,2,2,2,15.46,0,96.83,"NY",140,1149702,11/10/71
55600229256,0,0,116.75,0,13,608,1,7,0,75.54,0,608,"ME",46,268102,08/26/61
55600231181,0,0,83.97,0,8,482,1,0,0,50,0,241,"TX",774,131703,01/17/59
55600233633,0,0,79.98,0,4,697,1,0,0,100,0,697,"NJ",82,1695101,02/03/84
55600234072,59,0,68,0,11,587,2,6,1,36.22,0,293.5,"NJ",77,280201,10/24/54
55600235826,0,0,137,0,7,119,1,0,0,59.27,0,119,"MD",216,894203,06/12/51
55600237820,0,184.76,107.93,0,18,689,2,9,2,28.55,0,344.5,"AZ",852,204001,04/29/59
55600241722,0,46.49,142.59,0,10,369,2,1,0,14.74,1,52.71,"VA",232,1212801,06/12/79
55600242691,0,157,83,0,7,553,2,1,0,25.85,0,553,"MA",17,1380901,06/20/68
55600247191,0,836.89,51.98,0,4,264,2,0,0,16.92,0,26.4,"IN",477,863303,05/20/52
55600256696,0,657.41,17.01,0,17,676,2,5,1,18.03,0,135.2,"MA",24,1318201,02/23/32
55600257011,0,29,373.25,358.23,23,180,4,9,3,16.67,0,36,"KS",677,438601,05/23/51
55600262015,0,88,419.98,0,19,595,3,9,2,48.77,0,198.33,"AL",357,707303,10/23/64
55600268994,3106.53,59.5,144.6,139.95,27,558,5,9,6,10.97,1,18,"OH",441,432602,04/23/66
55600270274,0,0,184.47,0,10,267,1,2,0,34.9,0,267,"VA",201,86403,12/05/88
55600276315,0,354.73,68,0,16,634,4,7,1,25.77,0,211.33,"NV",891,1334403,12/08/67
55600283504,0,0,145.67,0,1,73,1,0,0,37.3,0,73,"CT",63,1888303,05/27/49
55600283526,421.08,499.38,3593.12,0,30,686,9,11,8,5.11,1,10.08,"IL",600,1289402,10/01/68
55600292403,0,289.91,141.44,0,13,478,2,7,0,21.86,0,478,"NY",112,2086203,04/16/32
55600296522,0,273.22,241.99,0,15,289,3,4,1,28.36,1,48.16,"OH",454,1863603,08/12/41
55600303000,0,0,88,0,10,202,1,2,0,100,0,202,"MD",217,2091903,"NA"
55600311900,0,1419.94,43.01,0,23,693,3,10,4,11.19,1,115.5,"MO",630,1840303,04/08/76
55600314677,0,157.49,158,0,17,433,3,4,0,34.94,1,86.6,"FL",325,77202,11/24/53
55600319382,0,919.74,52.17,0,22,432,2,9,4,4.47,1,48,"VA",234,1699301,02/27/65
55600324670,0,0,246.21,0,14,283,1,4,1,12.4,1,141.5,"NY",142,1972603,01/27/61
55600329787,0,1495.13,38,0,20,693,6,9,5,10.76,1,40.76,"VT",52,993202,08/05/78
55600331023,0,0,104.48,0,7,246,1,1,0,82.72,0,246,"AZ",864,2096103,10/06/59
55600331203,75,0,69.98,0,6,449,2,0,0,24.37,0,224.5,"IL",604,250801,10/22/53
55600337562,0,0,156.49,0,12,701,1,2,0,100,0,701,"IL",601,1769102,04/25/52
55600338707,0,0,112.97,0,6,493,1,4,0,65.52,0,164.33,"CT",64,1530601,07/13/71
55600341396,0,1212.36,43.99,82.96,12,673,4,7,4,14.95,1,74.77,"CA",954,2050302,10/26/60
55600342397,0,358.22,27.3,0,18,692,2,9,0,33.21,0,173,"OH",441,874001,12/11/44
55600349983,0,0,314.11,0,7,113,2,1,0,17.39,0,56.5,"NJ",74,1576502,05/01/63
55600355731,0,0,138.98,0,4,272,1,1,0,84.17,0,136,"VA",232,2166502,01/20/69
55600362975,0,1875.98,210.99,143.96,23,697,3,10,6,16.47,0,87.12,"MA",18,710903,09/28/77
55600364065,0,79.97,36.5,0,3,362,4,0,0,16.76,1,51.71,"NJ",77,1839901,12/30/68
55600365181,0,0,646.44,0,10,635,1,2,1,17.81,1,211.66,"MD",212,677203,06/30/59
55600366643,0,32,60.73,0,6,362,2,0,0,23.71,1,90.5,"NC",273,1354103,05/14/42
55600367194,0,23.97,317.97,0,10,136,4,1,1,30.32,0,68,"AR",722,211202,01/30/42
55600374981,0,0,456.93,0,24,642,1,8,1,25.86,0,214,"FL",334,547501,"NA"
55600375214,0,63,15,0,2,581,2,0,0,52.66,0,193.66,"NY",127,681203,07/04/49
55600381705,0,0,139.48,0,8,281,1,0,0,48.29,0,140.5,"OH",452,924303,03/15/34
55600386227,2089.8,0,2118.84,0,25,701,2,9,4,22.25,1,38.94,"CA",930,1637503,10/24/54
55600390954,0,0,319.99,0,17,467,1,9,2,35.17,0,155.66,"OH",432,1955502,03/20/51
55600392282,0,0,168.99,0,8,581,1,0,0,11.15,1,116.2,"IL",606,2098503,03/31/39
55600397423,0,0,114.98,0,9,129,1,1,0,57.65,0,129,"SD",577,1321401,03/20/60
55600398176,32.7,411.45,36.33,0,18,391,4,6,2,31.94,0,130.33,"CA",954,57101,"NA"
55600400446,0,0,89.97,0,0,59,1,0,0,60.89,0,59,"AZ",857,1457601,12/14/42
55600406307,86.52,0,24.63,0,8,287,2,1,0,83.62,0,143.5,"IL",600,508901,08/08/31
55600406400,0,884.04,81.68,0,14,656,9,6,4,7.18,1,46.85,"NJ",80,24701,10/29/70
55600412643,0,107.47,100,0,9,269,2,1,0,100,0,67.25,"CT",60,389201,11/17/54
55600415376,0,66.49,175.43,0,5,98,2,0,0,17.19,1,24.5,"PA",154,920501,09/04/65
55600417514,0,666,12,0,0,58,2,0,0,22.49,0,29,"WI",532,582102,10/09/78
55600421654,0,154,73.85,0,12,696,2,3,2,15.99,1,139.2,"FL",349,256101,05/10/48
55600421935,0,319.23,1774.35,0,22,530,4,11,5,18.14,0,88.33,"MD",217,631201,02/13/69
55600422734,0,0,197,0,4,108,1,0,0,102.46,0,108,"UT",844,1318902,05/29/39
55600423940,0,23.99,87.97,50,25,468,4,7,1,53.85,0,78,"CA",939,1511103,11/21/61
55600424387,0,0,282.43,0,17,397,1,4,0,23.42,1,132.33,"CA",940,247403,12/02/81
55600426244,0,191,15,0,9,240,2,1,0,24.3,1,60,"NY",124,1606601,05/25/72
55600427177,0,67.45,32.5,0,22,579,2,10,2,37.12,0,289.5,"MI",481,1199102,09/28/68
55600427807,0,108.99,24.5,0,9,299,2,2,0,100,0,299,"AZ",850,137802,"NA"
55600430135,197.25,1751.38,298.7,26.24,24,684,5,9,6,24.74,1,40.23,"WI",545,775501,02/26/71
55600432872,0,0,84.5,0,7,268,1,1,0,100,0,268,"NH",37,1045203,"NA"
55600434964,0,0,98,0,7,523,1,0,0,100,0,523,"CT",68,1394701,"NA"
55600436403,0,173.19,3.78,0,14,512,2,6,0,29.3,0,512,"LA",705,1353402,01/25/80
55600436414,78,0,38,0,7,310,2,2,0,12.64,1,155,"IL",622,1118402,12/05/57
55600438553,0,148,44.98,0,21,264,2,10,1,100,0,88,"MD",214,842102,04/11/52
55600439824,0,880.05,154.79,0,12,232,3,3,2,8.27,1,38.66,"FL",334,556703,12/23/66
55600442073,0,0,1359.44,0,23,525,1,8,2,28.94,0,105,"TX",761,1770302,10/17/40
55600453244,0,0,210,0,9,128,1,1,0,36.29,0,128,"PA",193,447003,03/26/85
55600465870,0,0,68.98,0,5,446,2,0,0,100,0,223,"TX",750,199301,08/08/75
55600480086,0,0,304,0,11,186,1,2,0,76.19,0,186,"FL",337,1827802,05/27/69
55600480831,0,0,927.74,0,18,386,1,5,1,31.6,0,193,"NY",127,324703,10/30/87
55600481537,0,129.96,84.47,0,16,657,2,6,0,51.89,0,328.5,"MS",394,1168103,"NA"
55600484150,0,62.97,15,0,4,249,2,0,0,46.38,0,249,"NY",131,1504002,08/07/58
55600488615,0,0,76.94,0,5,92,1,0,0,40.49,0,92,"SC",291,1791302,08/06/61
55600488651,0,200.62,79.87,0,18,698,2,9,1,28.07,0,698,"IL",628,1691202,08/12/65
55600490191,0,0,67.97,0,3,149,1,0,0,58.47,0,149,"CT",68,1494603,09/15/51
55600490595,0,612.92,29.99,0,16,284,3,4,1,18.83,0,47.33,"TN",380,531202,12/23/58
55600491754,0,1412.22,29.4,0,25,698,11,8,1,22.88,1,31.72,"TX",782,879501,10/28/65
55600492935,0,0,87.99,0,9,166,1,1,0,37.92,1,83,"WI",534,2110701,03/21/55
55600497525,0,0,153.94,0,1,85,1,0,0,34.29,0,85,"NJ",85,833801,10/01/70
55600502034,17,221.04,330.78,0,21,691,3,10,3,17.9,1,76.77,"NJ",70,147101,05/20/59
55600502203,0,0,165,0,10,239,1,2,0,34.92,0,239,"NM",871,1638903,03/12/40
55600502272,0,0,415.79,0,9,153,1,1,0,24.41,0,153,"CA",917,550003,11/17/57
55600514736,0,1818.11,265.71,0,18,677,3,10,4,18.24,0,96.71,"TX",799,1878402,"NA"
55600515726,0,54,148.94,0,9,636,3,6,2,54.2,0,212,"MO",630,969002,12/24/61
55600529882,0,0,111,0,13,344,1,4,1,36.85,0,172,"CT",63,880401,10/17/80
55600531522,0,130.75,138,0,17,636,2,6,0,26.14,0,636,"PA",178,1548402,"NA"
55600532534,0,117,6,59.97,15,532,3,7,1,16.23,1,177.33,"CA",945,1347003,01/05/86
55600536923,0,0,68.99,0,6,339,1,0,0,100,0,339,"NM",873,1086103,"NA"
55600536981,0,356.04,58.6,0,8,207,2,2,1,27,0,41.4,"NV",890,262603,01/01/78
55600538341,0,0,154.96,0,20,634,2,6,1,26.32,0,317,"MS",395,1266602,09/20/78
55600546124,0,526.97,39,0,6,148,2,1,1,22.13,0,74,"NY",112,22801,05/23/39
55600553515,0,49,75,0,10,351,2,4,0,35.62,0,351,"MI",481,67201,03/17/62
55600556677,0,0,117.99,0,13,334,1,3,0,71.85,0,334,"CT",60,529701,07/21/31
55600588977,0,451.92,18,0,18,258,3,6,0,31.8,0,86,"CA",907,2132101,03/17/82
55600604422,0,79.98,66.49,0,2,99,2,0,0,78.96,0,99,"MA",25,827902,"NA"
55600605254,0,916.2,127.54,0,19,656,2,8,2,14.92,1,131.2,"OH",444,1058901,11/25/53
55600622004,0,55.24,24.99,0,9,581,3,1,0,41.27,0,193.66,"DC",200,877801,07/02/35
55600628284,0,31.48,125.97,0,1,78,2,0,0,25.68,0,78,"OK",737,1490203,07/04/71
55600631231,0,1623.67,56,0,22,702,3,9,5,13.11,1,35.1,"VA",242,413901,05/18/69
55600637114,0,0,242,0,21,454,1,7,0,71.45,0,454,"IL",624,871401,03/26/50
55600656577,0,0,97.97,0,17,697,1,8,2,53.36,0,232.33,"CA",920,1500201,12/28/57
55600661854,0,6043.35,105.08,0,24,494,5,9,6,8.41,1,9.68,"DE",197,1999403,"NA"
55600664712,0,0,198.95,0,15,581,2,4,0,21.96,1,145.25,"CA",953,403602,03/07/52
55600676366,0,0,370.91,0,19,619,4,7,2,19.53,1,123.8,"NV",891,1081501,06/11/51
55600682226,461.27,0,17.97,0,19,319,3,4,1,33.87,0,45.57,"DC",200,307502,05/25/63
55600702883,0,0,248.99,0,15,287,2,6,0,50.13,0,143.5,"CA",945,1842202,12/12/45
55600705075,0,117.98,22,0,11,286,3,3,0,41.67,0,143,"TX",765,183301,"NA"
55600715605,0,0,167.48,0,8,245,1,2,0,43.7,0,245,"AL",356,1246501,12/12/67
55600725181,0,199.91,109,174.96,23,638,5,8,3,7.82,1,58,"FL",331,103103,09/28/44
55600742537,0,0,81.75,0,3,340,1,0,0,45.05,0,170,"OH",442,839202,05/04/39
55600794976,0,0,97,0,9,287,1,1,0,100,0,287,"CO",805,1718401,12/03/61
55600804741,0,78.96,199.94,0,14,269,2,2,1,17.5,1,33.62,"NY",104,1833902,04/18/52
55600809713,253.47,0,23.98,0,9,229,2,2,0,31.33,0,229,"VA",236,319701,09/02/51
55600821863,0,89,5,0,10,310,2,3,0,73.17,0,310,"AZ",860,2127303,12/08/78
55600825384,0,1219.77,15,0,11,169,2,2,1,15.13,1,28.16,"CA",949,119001,02/17/66
55600826835,0,252.28,319.94,0,7,242,3,0,0,45.4,0,60.5,"PA",190,255203,04/13/85
55600839741,0,0,119.97,0,8,139,1,1,0,37.5,0,139,"PA",181,2072101,06/17/41
55600869157,0,0,68,0,0,355,1,0,0,100,0,355,"PA",181,699902,"NA"
55600892931,525.18,148.98,111.02,0,21,534,5,9,2,14.39,1,106.8,"FL",331,1863902,06/22/60
55600902401,0,0,403.44,0,14,286,1,4,0,39.23,0,143,"MA",12,463403,07/09/48
55600905541,0,29.99,6,104.35,6,389,3,0,0,37.89,1,129.66,"MD",209,1624602,08/04/61
55600906913,0,63.99,513.95,0,16,697,3,8,1,23.41,0,116.16,"WI",532,791401,05/30/52
55600912176,0,0,51,25.17,8,686,2,0,0,50.31,0,343,"MA",24,795101,09/04/60
55600912536,0,29.5,872.87,0,19,327,2,6,1,14.73,0,54.5,"WV",261,2080801,05/28/73
55600913414,0,0,71.49,0,3,107,1,0,0,50.11,0,107,"MO",652,888401,10/22/55
55600913652,0,19.99,19.99,0,3,673,2,0,0,50,0,673,"FL",346,1507001,07/04/39
55600915294,0,1540.05,341.14,153.45,18,531,5,5,5,6.37,1,19.66,"NC",284,948701,04/25/65
55600916363,0,0,81.46,0,5,172,1,0,0,45.54,0,86,"CA",920,210801,"NA"
55600921886,0,1242.42,2207.74,101.49,25,502,3,6,5,6.3,1,10.24,"NY",142,1200301,"NA"
55600925590,0,111.98,19.99,0,5,244,2,1,0,52.94,0,244,"PA",150,148702,03/11/32
55600928694,0,322.22,23.74,53.97,18,593,4,4,1,18.95,1,59.3,"GA",303,573402,01/26/52
55600928863,0,375.3,49,0,15,329,2,4,1,6.77,1,29.9,"OH",452,859903,07/16/51
55600932530,0,397.17,47.42,0,9,541,2,1,1,34.33,0,135.25,"CA",944,540103,09/25/68
55600933654,0,152.53,155.24,0,11,127,2,2,0,38.98,0,127,"IL",606,769702,08/07/33
55600933892,0,344.22,6.5,56.97,10,548,4,5,1,15.33,1,54.8,"NY",103,824601,12/21/40
55600933971,0,0,1263.28,0,24,592,1,10,3,33.71,1,53.81,"OR",970,1504501,09/18/77
55600935104,0,2438.73,141.99,0,23,621,4,9,7,14.95,1,31.05,"MA",19,1813102,10/02/58
55600936037,0,74.48,29.99,0,5,284,2,0,0,47.26,0,284,"VA",221,421503,01/11/70
55600939054,0,108.98,45,0,8,208,2,2,0,25.87,0,104,"OH",441,580503,12/22/47
55600947402,0,69.99,214,41.37,4,108,3,0,0,25.41,0,36,"LA",701,87602,02/19/62
55600948786,0,104.99,34.98,0,7,692,2,3,0,26.74,0,230.66,"NJ",70,437701,10/15/71
55600950992,0,943.53,7.5,0,13,222,2,3,0,15.41,1,55.5,"MD",211,2071502,09/07/30
55600951856,0,456.1,20.99,636.55,8,581,8,2,1,6.79,1,20.03,"NY",117,426603,"NA"
55600952183,0,156.23,60.72,401.68,26,648,5,10,6,12.42,1,46.28,"PA",163,609803,03/02/66
55600956446,0,56.98,180.92,0,7,579,2,1,0,36.95,1,96.5,"IL",629,707703,07/24/68
55600969406,0,0,347.57,0,8,230,1,2,0,66.91,0,115,"MD",217,1428902,05/27/38
55600970756,0,0,80.08,0,14,347,1,4,0,100,0,347,"NJ",78,815102,10/23/68
55600972400,0,0,798.97,0,14,413,1,6,3,11.23,0,59,"MA",17,52001,03/20/59
55600974402,0,1083.07,22.5,0,13,615,3,8,1,12.18,0,68.33,"CA",910,1936401,09/03/51
55600976787,0,0,203.97,35.99,6,687,2,1,0,36.59,0,343.5,"CA",934,1385302,"NA"
55600978114,0,0,280.97,0,8,236,1,2,0,28.69,0,118,"KS",666,1662002,11/30/81
55600979306,0,291.71,12,99.98,24,693,5,10,7,21.7,1,63,"MN",559,1605602,10/29/58
55600980814,0,228.98,25,0,18,607,2,10,2,34.76,0,303.5,"NV",891,949601,02/14/34
55600989480,0,717,115.45,250.93,24,592,4,10,6,21.25,1,45.53,"NJ",70,1587901,"NA"
55600991186,0,0,138.97,0,17,693,1,9,1,27.14,0,346.5,"NY",145,842401,10/03/80
55600995250,0,0,119.45,0,5,260,2,0,0,37.98,0,86.66,"FL",329,162501,12/18/58
55600999207,0,0,272.69,0,4,107,1,0,0,25.53,0,107,"SD",571,2167002,02/22/40
55601000940,0,223,63.99,0,15,340,2,6,0,35.78,0,340,"NC",283,265202,03/08/58
55601006531,0,0,9.92,0,3,127,1,0,0,0.75,1,42.33,"TX",787,1527201,"NA"
55601008216,0,0,94,0,3,98,1,0,0,88.04,0,98,"AZ",863,1523501,08/23/81
55601009387,0,0,156.58,0,7,140,1,1,0,42.85,0,140,"NJ",77,242002,04/04/61
55601010365,0,296.14,4.5,0,17,364,3,6,1,26.23,0,182,"TN",370,1121602,08/01/64
55601010581,0,848.42,59.49,0,14,320,2,4,0,25.55,1,45.71,"FL",330,1440302,03/02/83
55601010952,0,0,606.79,0,13,656,2,6,0,30.5,0,164,"MI",494,1539101,06/28/69
55601012910,0,162.79,13.49,0,1,66,2,0,0,60.15,0,66,"KY",405,418502,05/26/68
55601013201,0,0,127,0,4,114,1,0,0,57.44,0,114,"CA",950,2092302,03/01/49
55601018952,0,0,128.96,0,1,36,1,0,0,35.74,0,36,"AZ",852,2089901,08/08/48
55601021493,0,200.49,10,0,17,439,2,8,3,32.17,0,87.8,"TX",785,1097701,03/25/82
55601022267,0,1501.73,392.67,0,22,559,3,9,3,8.53,1,29.42,"SC",296,662901,06/29/76
55601022584,0,626.64,56.04,0,21,644,3,10,1,16.78,1,107.33,"MI",490,1082502,12/31/71
55601024812,0,0,529.54,0,18,624,1,8,2,20.87,1,89.14,"NY",101,1951802,04/11/69
55601025712,0,0,1037.82,0,26,694,2,10,6,10.18,1,46.26,"NC",272,58002,11/30/55
55601025947,0,81.97,122.81,0,4,108,2,0,0,7.12,1,36,"OR",974,461601,09/19/60
55601030864,0,750.98,114.36,41.98,25,616,4,10,5,14.78,0,77,"CA",906,43801,01/06/71
55601032033,0,7292.28,85.51,0,31,684,5,11,7,9.08,1,15.2,"ID",838,158803,08/02/58
55601032271,0,199.97,6,255.93,19,675,3,8,0,19.14,0,225,"PA",190,1616103,11/03/69
55601037863,0,0,79.98,0,3,123,1,0,0,53.12,0,123,"NJ",79,1569801,04/03/68
55601038356,0,131.96,38.99,0,13,536,2,5,0,31.34,1,107.2,"KS",662,1812201,09/18/71
55601042124,0,2721.12,95.62,0,19,593,6,8,6,17.5,1,34.88,"PA",180,447403,"NA"
55601044555,0,1119.06,283.95,0,20,331,6,6,2,14.09,1,30.09,"PA",188,1616801,01/16/51
55601044904,0,147,20,0,18,693,2,8,1,78.91,0,693,"NJ",76,27103,11/13/54
55601045321,0,362.73,25.5,0,16,331,2,6,1,18.99,0,110.33,"MD",208,1566601,04/15/66
55601047356,0,1504.26,196.94,0,19,464,2,8,6,19.32,1,30.93,"DE",197,506603,10/20/58
55601049901,0,0,122,0,6,663,2,1,0,23.02,1,331.5,"IL",606,1333702,04/10/48
55601050246,0,119.94,4.5,0,6,229,2,1,0,24.16,0,229,"NY",130,1079001,05/31/79
55601056356,0,0,356.97,0,12,283,1,2,0,37.66,0,141.5,"CT",61,429601,07/10/59
