cid,month,amount,payment_type,channel,buy,class,coupons,items
55611746142,201711,99,0,0,1,2,0,2
55611746582,201711,114.75,0,0,1,4,1,5
55611783705,201711,196,0,0,1,5,0,5
55611797184,201711,157.98,0,0,1,4,0,5
55611814102,201711,83,0,0,1,2,0,2
55611987286,201711,129.98,0,0,1,2,0,2
55612070062,201711,25,1,0,1,3,0,7
55612128563,201711,192.99,0,0,1,5,0,8
55612137170,201711,236.96,1,0,1,5,2,7
55612146530,201711,458.46,0,0,1,5,1,8
55612215412,201711,212.95,0,0,1,3,1,7
55612248883,201711,118.98,0,0,1,2,0,3
55612281112,201711,85.5,0,0,1,2,0,3
55612293285,201711,63.99,0,0,2,2,1,2
55612300235,201711,48,0,0,1,2,0,2
55612425541,201711,91.49,0,0,1,5,0,8
55612470811,201711,134.47,0,0,1,2,0,3
55612506055,201711,48.74,1,0,1,4,1,5
55612632181,201711,19.99,0,0,1,5,0,5
55612668982,201711,39,0,0,1,2,0,2
55612781366,201711,267.99,0,0,1,3,0,3
55613045865,201711,148,0,0,1,5,0,7
55613098595,201711,18.98,0,0,1,6,0,11
55613127257,201711,162,0,0,1,3,0,4
55613166692,201711,122,0,0,1,2,0,3
55613182294,201711,431.97,0,0,1,2,0,4
55613188054,201711,89.97,0,0,1,3,0,3
55613217743,201711,96.97,0,0,1,1,0,2
55613267535,201711,79.98,0,0,1,2,0,2
55613362304,201711,53.96,1,0,1,4,1,6
55613376730,201711,99,0,0,1,1,0,1
55613417543,201711,84,0,0,1,1,0,1
55613482725,201711,98,0,0,1,2,0,4
55613559812,201711,85,0,0,1,2,0,2
55613604426,201711,77,0,0,1,6,0,8
55613606204,201711,69.99,0,0,1,1,0,1
55613627142,201711,82,0,0,1,6,0,10
55613652227,201711,73.5,0,0,1,1,0,1
55613694294,201711,374.95,0,0,1,6,0,9
55613776554,201711,204.99,0,0,1,4,0,4
55613849407,201711,53,0,0,1,6,0,13
55613877174,201711,49,0,0,1,2,0,2
55614063631,201711,202,1,0,1,1,1,2
55614074035,201711,54.98,0,0,1,2,0,2
55614093702,201711,127,0,0,2,2,0,2
55614114456,201711,93.49,0,0,1,2,0,2
55614114582,201711,90,0,0,1,3,0,3
55614115233,201711,275.99,0,0,1,4,0,6
55614169032,201711,92.48,0,0,1,3,0,3
55614178133,201711,58.5,0,0,1,1,1,2
55614179080,201711,87,0,0,1,2,0,2
55614209781,201711,108.98,1,0,1,7,0,11
55614233652,201711,202,0,1,1,3,0,3
55614234101,201711,38,0,0,1,3,0,3
55614235676,201711,59.99,1,0,1,3,1,4
55614283545,201711,207.49,0,0,1,5,0,7
55614415711,201711,124.95,0,0,1,7,1,19
55614435184,201711,87,0,0,1,2,0,2
55614476787,201711,59,0,0,1,1,0,1
55614499762,201711,236.99,0,0,1,3,1,6
55614512674,201711,12.99,0,0,1,2,0,5
55614529382,201711,184.95,0,0,1,5,0,5
55614539934,201711,148.49,0,0,1,1,0,2
55614548530,201711,2.99,0,0,1,4,0,4
55614564482,201711,29.99,1,0,1,2,1,3
55614604294,201711,162.48,1,0,1,4,1,10
55614619425,201711,49,0,0,1,1,0,1
55614631690,201711,49,0,0,1,1,0,1
55614675193,201711,118,0,0,1,2,0,2
55614677681,201711,317.89,1,0,1,9,0,18
55614690233,201711,168,0,0,1,1,0,1
55614763087,201711,200.97,0,0,4,6,0,7
55614768660,201711,165,1,0,1,8,1,13
55614773167,201711,72.75,0,0,1,6,1,11
55614860953,201711,142.99,0,0,1,4,0,6
55614880144,201711,147.99,0,0,1,1,0,2
55614889721,201711,189.99,0,0,3,3,1,7
55614895636,201711,199.95,0,0,1,4,0,7
55615029104,201711,14.99,0,0,1,4,0,5
55615249177,201711,44,0,1,1,10,0,29
55615254962,201711,87,1,0,1,2,1,2
55615255556,201711,110.25,0,0,1,2,0,4
55615294155,201711,59,0,0,1,3,0,6
55615323325,201711,99,0,0,1,2,0,2
55615356255,201711,138.73,1,0,1,1,1,1
55615383796,201711,119.84,0,0,2,4,0,7
55615418603,201711,99,0,0,1,2,0,2
55615443566,201711,100.98,0,0,1,3,0,5
55615461782,201711,197,0,0,1,3,0,3
55615485315,201711,49.99,0,0,1,2,0,2
55615490027,201711,173.99,0,0,1,2,0,4
55615540326,201711,278.98,1,0,1,3,1,5
55615712961,201711,231.3,1,0,1,3,1,5
55615793973,201711,289.97,0,0,1,9,0,11
55615823535,201711,96,0,0,1,1,0,4
55615866804,201711,284.99,0,0,1,4,1,6
55616058381,201711,388.2,1,0,1,1,1,1
55616074545,201711,93,0,0,1,4,0,8
55616149302,201711,98,0,0,3,2,0,2
55616275900,201711,74.99,0,0,1,5,0,10
55616350687,201711,213,0,0,2,6,0,11
55616377893,201711,74,1,0,1,4,2,5
55616436006,201711,40.5,1,0,1,2,1,3
55616441147,201711,61.99,0,0,1,3,0,4
55616599631,201711,46.8,0,0,1,7,0,15
55616667152,201711,15,0,0,1,4,0,6
55616685321,201711,147,0,0,1,2,1,8
55616785131,201711,137.25,0,0,1,1,1,2
55616896451,201711,147.73,0,0,1,1,1,2
55616944532,201711,313,1,0,1,3,0,4
55616999581,201711,98,0,0,1,1,0,1
55617014605,201711,95,1,0,1,7,0,13
55617064141,201711,92.25,1,0,1,8,2,13
55617085335,201711,104.24,1,0,1,5,1,10
55617087687,201711,301.98,0,0,1,5,0,5
55617113627,201711,101,0,0,1,2,0,4
55617114967,201711,103,0,0,1,2,0,2
55617155467,201711,219.96,1,0,1,1,1,3
55617182131,201711,108.99,1,0,1,3,0,3
55617203076,201711,5,0,0,1,4,0,7
55617290625,201711,78,0,0,1,1,0,1
55617298726,201711,141,0,0,1,9,1,20
55617418256,201711,67.75,1,0,1,3,2,6
55617419383,201711,95.97,0,0,1,4,0,8
55617648062,201711,113.02,0,0,1,4,0,4
55617687090,201711,106.95,1,0,1,2,0,4
55617729141,201711,154,0,0,1,2,0,3
55617772723,201711,119.98,0,0,1,1,0,2
55617777944,201711,120.5,0,0,1,3,1,4
55617790071,201711,139.98,0,0,1,2,0,2
55617852654,201711,59.98,0,0,1,2,0,2
55617857266,201711,216.5,0,0,2,3,1,5
55617869160,201711,682.46,0,0,1,15,0,31
55618003716,201711,156.98,1,0,1,2,1,2
55618013313,201711,14.99,1,0,1,7,2,16
55618016936,201711,117.97,0,0,1,2,0,4
55618086326,201711,96,0,0,1,2,0,2
55618167160,201711,138.97,0,0,1,1,0,1
55618233410,201711,280.49,0,0,1,7,0,10
55618238833,201711,93.75,0,0,1,3,1,9
55618246270,201711,202,0,0,1,1,0,2
55618279401,201711,302.9,1,0,1,5,0,11
55618291270,201711,88,1,0,1,4,0,5
55618331204,201711,277.95,0,0,1,6,0,8
55618360152,201711,335,0,0,1,2,0,4
55618417562,201711,215.7,0,0,1,7,1,9
55618432826,201711,208.97,0,0,1,4,0,9
55618678257,201711,229.98,0,0,1,2,0,4
55618710014,201711,54.99,0,0,1,4,0,6
55618720761,201711,199.96,0,0,2,4,0,5
55618756953,201711,162.98,0,0,1,2,0,3
55618794065,201711,327.98,0,0,1,4,0,4
55618808681,201711,49,0,0,1,2,0,2
55618827051,201711,256,0,0,1,2,0,3
55618892730,201711,14.99,0,0,1,3,0,4
55618899355,201711,172,0,0,1,2,0,2
55619249511,201711,49,0,0,1,2,0,2
55619304353,201711,73.5,0,0,1,1,0,4
55619308270,201711,204,0,0,1,4,0,5
55619323905,201711,133.2,1,0,1,2,0,2
55619432276,201711,152,0,0,1,3,0,4
55619453800,201711,39.99,0,0,1,3,0,3
55619488710,201711,49,0,0,1,1,0,2
55619513917,201711,45.96,0,0,1,4,0,4
55619516145,201711,303,0,0,1,3,0,4
55619530217,201711,71.24,0,0,1,2,1,4
55619591003,201711,233.96,1,0,1,6,1,12
55619619433,201711,213,1,0,1,4,1,7
55619651451,201711,292.49,0,0,1,5,1,11
55619660617,201711,59.99,0,0,1,2,1,2
55619662237,201711,54.98,0,0,1,2,0,3
55619712990,201711,50.98,1,0,1,7,2,13
55619771151,201711,194.99,1,0,1,8,1,17
55619772815,201711,476.98,0,0,1,9,1,22
55619819370,201711,157.98,0,0,1,3,0,3
55619826040,201711,98,0,0,1,2,0,3
55619915940,201711,98.1,1,0,1,6,1,8
55619964133,201711,89.24,0,0,1,4,1,6
55619966474,201711,333.24,0,0,1,2,1,3
55619983800,201711,122.98,0,0,1,5,0,7
55620032531,201711,41.24,0,0,1,4,0,6
55620038933,201711,169.99,1,0,1,5,1,5
55620105532,201711,40,1,0,1,5,0,8
55620188063,201711,297.86,1,1,1,7,0,10
55620194262,201711,49,0,0,1,6,0,8
55620198897,201711,139.98,0,0,1,4,0,4
55620306784,201711,83,0,0,1,2,0,3
55620321204,201711,39,0,0,1,1,0,1
55620324614,201711,291,0,0,1,4,0,5
55620326807,201711,536.9,0,0,1,5,0,16
55620326843,201711,69.98,0,0,1,3,0,3
55620354585,201711,181,0,0,1,6,0,7
55620376794,201711,15,0,0,1,3,0,3
55620401160,201711,528.96,0,0,2,4,0,10
55620650696,201711,72.99,0,0,1,10,1,18
55620717342,201711,232.16,1,0,2,6,2,8
55620792064,201711,102,1,0,1,6,1,6
55620803234,201711,301.44,1,0,1,7,1,18
55620863603,201711,78,0,0,1,1,0,1
55620901086,201711,66.98,0,0,1,3,0,4
55620999865,201711,160.99,0,0,1,4,0,5
55621033926,201711,384,0,0,1,2,0,5
55621034141,201711,526.67,0,0,2,4,1,12
55621112373,201711,161.74,0,0,1,3,1,4
55621114926,201711,97.49,0,0,1,1,1,1
55621128970,201711,199.98,1,0,1,3,1,5
55621134210,201711,168,1,0,1,4,0,11
55621138517,201711,351.16,0,0,2,6,1,11
55621164462,201711,132.99,0,0,1,4,0,6
55621165834,201711,67.47,0,0,1,6,1,8
55621172245,201711,330.97,0,0,2,6,0,7
55621181313,201711,124,0,0,1,2,0,2
55621246441,201711,220.97,0,0,1,5,0,9
55621257410,201711,73.5,0,0,1,1,0,1
55621270730,201711,49.98,0,0,1,2,0,5
55621279450,201711,124.99,0,0,1,2,0,3
55621284511,201711,70,0,0,1,4,0,10
55621296583,201711,24.5,0,0,1,1,0,1
55621313217,201711,59.98,0,0,1,2,0,3
55621325595,201711,9.99,0,0,1,2,0,3
55621407642,201711,82.2,0,0,1,1,0,1
55621559224,201711,120.2,0,0,1,2,1,2
55621611131,201711,426,0,0,1,5,0,8
55621618127,201711,49,0,0,1,1,0,1
55621663217,201711,286.46,0,0,1,6,1,9
55621679386,201711,77.48,0,0,1,3,0,3
55621742680,201711,97.48,1,0,1,3,1,7
55621742813,201711,165,0,0,1,5,0,5
55621756021,201711,50,0,0,1,2,0,4
55621765832,201711,86,0,0,1,3,0,4
55621774483,201711,258,1,0,1,4,2,7
55621829156,201711,49,1,0,1,5,0,6
55621990865,201711,572.99,0,0,1,4,1,9
55622018234,201711,20,0,0,1,4,0,6
55622042196,201711,215.98,0,0,1,3,0,6
55622058566,201711,160,0,0,1,3,0,4
55622076760,201711,139.5,0,0,1,4,1,6
55622115841,201711,1467.7,1,0,1,16,1,57
55622149570,201711,24,0,0,1,3,0,3
55622173690,201711,263.76,0,1,1,5,1,10
55622182067,201711,49,0,0,1,2,1,4
55622324630,201711,182,0,0,1,4,0,4
55622395155,201711,375.97,0,0,1,3,0,4
55622417950,201711,83.99,0,0,1,2,0,2
55622475730,201711,77,0,0,1,2,0,3
55622479103,201711,197.99,0,0,1,3,0,5
55622526995,201711,199.95,0,0,1,1,0,1
55622578712,201711,149.98,0,0,2,4,0,7
55622657617,201711,84.99,0,0,1,3,0,3
55622686813,201711,44.98,1,0,1,4,0,5
55622687894,201711,30.75,0,0,1,3,1,4
55622703790,201711,359.97,1,0,1,5,1,9
55622739722,201711,106.2,1,0,1,3,0,5
55622864404,201711,166,1,0,1,8,1,19
55622909844,201711,63,1,0,1,10,2,28
55622915535,201711,109.98,1,0,1,4,0,13
55622956330,201711,246,0,0,1,4,0,4
55622957443,201711,214.49,1,0,1,4,1,6
55623018675,201711,39,0,0,1,2,0,4
55623023567,201711,164.97,1,0,1,4,0,5
55623040490,201711,299.93,1,0,1,4,1,6
55623050105,201711,127.78,1,0,1,3,0,3
55623090145,201711,51.75,0,0,1,2,1,3
55623095300,201711,77.5,0,0,1,6,0,8
55623095986,201711,61.49,0,0,1,1,0,3
55623111093,201711,302.48,0,0,1,5,1,7
55623215461,201711,128.98,0,0,1,2,0,3
55623236576,201711,436.43,1,0,1,7,1,14
55623261596,201711,98,1,0,1,2,0,3
55623263857,201711,161.1,1,0,1,4,0,4
55623275603,201711,129.98,0,0,1,9,0,12
55623283015,201711,79,0,0,1,1,0,1
55623290464,201711,131.25,0,0,1,5,1,9
55623353521,201711,15,0,0,1,8,1,15
55623377956,201711,55.02,0,0,1,8,0,12
55623388770,201711,49.98,0,0,1,2,0,4
55623389061,201711,117.74,1,1,1,5,2,6
55623394595,201711,98,1,0,1,6,0,12
55623401444,201711,50.99,0,0,1,3,0,4
55623421233,201711,186,0,0,1,2,0,2
55623431991,201711,72,0,0,1,2,0,2
55623432077,201711,48.99,0,0,1,3,0,3
55623439810,201711,23.97,1,0,1,6,1,11
55623447651,201711,114,1,0,1,7,4,21
55623481501,201711,98.99,0,0,1,2,0,3
55623714591,201711,167,1,0,1,3,0,4
55623723533,201711,108.74,1,0,1,7,2,14
55623744301,201711,147.99,0,0,1,2,0,2
55623871551,201711,21.99,0,0,1,3,0,3
55623945056,201711,73.5,1,0,1,1,0,1
55623960853,201711,397.49,1,0,1,7,2,12
55623966794,201711,413.98,1,0,1,4,1,8
55623997934,201711,187.5,1,1,1,8,0,18
55624019150,201711,200.7,1,0,1,4,1,9
55624152967,201711,158,0,0,1,3,0,4
55624190406,201711,154.97,0,0,1,3,0,3
55624226204,201711,460.99,0,0,2,6,0,8
55624231943,201711,24.99,1,0,1,1,0,2
55624232775,201711,71.48,0,0,1,2,0,4
55624241630,201711,377.24,1,0,1,8,1,13
55624289003,201711,71.98,0,0,1,3,0,4
55624295800,201711,76.5,1,0,1,3,1,4
55624304786,201711,207.98,0,0,1,4,0,4
55624324135,201711,156,0,0,1,1,0,2
55624328470,201711,161,0,0,1,3,0,4
55624346560,201711,132.49,0,0,1,2,0,2
55624354884,201711,19.99,1,0,1,5,0,5
55624485777,201711,20,1,0,1,4,0,4
55624555180,201711,157.25,0,0,1,3,1,4
55624563280,201711,21.6,0,0,1,1,0,1
55624672324,201711,124,0,0,1,2,0,5
55624673530,201711,89.98,0,0,1,2,0,2
55624683993,201711,621.32,1,0,1,5,1,11
55624686242,201711,88,1,0,1,4,0,7
55624778110,201711,72.97,0,0,1,3,0,3
55624816807,201711,147,1,0,1,3,0,8
55625013625,201711,115,0,0,1,2,0,3
55625111310,201711,99,0,0,1,4,0,4
55625119220,201711,187.95,1,0,1,2,0,3
55625189320,201711,102,0,0,2,2,1,4
55625251023,201711,54.98,1,0,1,4,0,7
55625268867,201711,90.71,1,0,1,5,1,7
55625376045,201711,98,0,0,1,1,0,1
55625396126,201711,78,1,0,2,2,0,3
55625426391,201711,78,0,0,1,1,0,1
55625451476,201711,88,0,0,1,2,0,3
55625465866,201711,476.08,1,0,1,5,1,12
55625510494,201711,14.99,0,0,1,2,0,3
55625825415,201711,59.99,0,0,1,5,0,8
55625938492,201711,98.99,0,0,1,3,0,3
55625994180,201711,173,1,0,1,2,0,2
55626003737,201711,34.99,0,0,1,2,0,2
55626004705,201711,98.06,0,0,1,2,1,2
55626007654,201711,245.98,0,0,1,2,0,4
55626033620,201711,44.25,0,0,1,3,0,4
55626043045,201711,93.98,0,0,1,2,0,3
55626073905,201711,124.5,1,0,1,2,2,3
55626102683,201711,224.48,0,0,1,3,0,5
55626103796,201711,9.99,0,0,1,1,0,1
55626122955,201711,98,0,0,1,2,0,2
55626249092,201711,115.18,1,0,1,3,1,4
55626281841,201711,19.99,1,0,1,4,1,7
55626345042,201711,15,0,0,1,2,0,2
55626365314,201711,66,0,0,1,1,0,1
55626550480,201711,98,0,1,2,1,0,2
55626573485,201711,99.75,0,0,1,2,1,3
55626574510,201711,225,0,0,1,2,0,4
55626604693,201711,137,0,0,1,5,0,8
55626638061,201711,154.97,0,0,1,2,0,3
55626717711,201711,263,0,0,2,4,0,7
55626724786,201711,159.99,0,0,1,2,0,3
55626730141,201711,184.5,1,0,1,2,1,2
55626740593,201711,78.75,0,0,1,4,1,6
55626822381,201711,120.14,1,0,1,2,1,2
55626847355,201711,157.43,1,0,1,6,0,8
55626881670,201711,59,1,0,1,3,0,5
55626884392,201711,44.25,0,0,1,1,1,2
55626888316,201711,97,1,0,1,2,0,3
55626917760,201711,139.99,0,0,1,5,0,7
55626951395,201711,130.48,1,0,2,4,0,4
55626954646,201711,2.64,1,0,1,1,0,3
55626984980,201711,49,1,0,1,2,0,4
