cid,last_month_buy,amount,payment_type,channel,buy,class,coupons,items
55601000940,201704,286.99,0,0,1,4,0,7
55601010365,201709,135.97,1,0,1,3,0,7
55601010581,201708,460.95,0,0,6,1,0,4
55601010952,201711,219.99,1,0,2,4,0,6
55601021493,201702,76,0,0,4,0,0,0
55601022267,201710,712.7,1,0,17,9,2,46
55601022584,201709,586.7,1,0,4,7,0,14
55601024812,201710,319.32,1,0,6,10,1,20
55601025712,201710,910.36,1,0,13,11,2,24
55601030864,201709,589.89,1,0,5,6,1,12
55601032033,201711,5333.16,1,0,43,14,11,116
55601032271,201709,461.9,0,0,3,12,0,17
55601038356,201708,81.98,1,0,3,2,0,5
55601042124,201706,2001.47,1,1,15,11,0,43
55601044555,201704,919.11,1,1,9,6,0,16
55601044904,201704,167,1,0,1,2,0,7
55601045321,201711,244.99,0,0,2,2,0,3
55601047356,201709,787.32,1,0,13,4,1,12
55601050246,201708,124.44,0,0,1,5,0,7
55601056356,201706,356.97,0,0,2,4,0,4
55601060351,201703,485.85,1,0,10,9,1,25
55601064221,201711,262.78,1,0,3,2,0,5
55601067123,201706,119.98,0,0,1,2,0,2
55601069532,201704,471.88,1,0,3,3,0,6
55601070701,201703,166.49,1,0,2,9,1,15
55601075144,201709,139.98,0,0,2,4,0,6
55601077362,201707,209.44,0,0,10,1,0,4
55601077791,201704,78,0,0,1,2,0,2
55601078903,201708,390.02,1,0,4,3,0,6
55601079670,201708,305.48,1,0,3,1,0,5
55601082366,201706,12.99,0,0,6,3,0,6
55601083107,201710,290.91,1,0,6,2,0,6
55601083705,201705,96.3,1,0,1,1,0,3
55601085945,201711,156.97,1,1,6,2,0,4
55601086870,201703,2304.21,1,0,14,4,1,31
55601089761,201704,572.46,1,0,8,7,0,21
55601093562,201707,96.25,1,0,1,8,0,11
55601098602,201706,332,1,0,16,12,2,36
55601103302,201709,1031.65,1,0,7,0,0,0
55601104530,201704,263.8,0,0,4,2,0,4
55601106882,201706,260.99,1,0,11,4,1,8
55601107782,201706,778.68,1,0,6,3,0,10
55601109614,201709,524.7,0,1,2,0,0,1
55601115035,201707,237.97,1,0,4,6,0,23
55601121911,201702,8601.51,1,0,30,3,2,62
55601122844,201709,126,1,0,2,4,0,6
55601126185,201707,354.89,1,0,4,5,0,11
55601135624,201703,56.96,0,0,2,2,0,4
55601137143,201711,197,0,0,1,1,0,3
55601137604,201708,542,0,0,4,5,0,7
55601138595,201706,137,1,0,7,3,0,6
55601139787,201708,39.98,0,0,2,1,0,2
55601140440,201705,944.8,1,1,15,11,2,55
55601140754,201703,161.48,1,0,3,3,0,7
55601144411,201706,136,0,0,2,4,0,4
55601146312,201708,165.46,1,0,3,2,0,3
55601153206,201705,397.85,1,0,3,7,0,20
55601154074,201706,863.16,1,0,13,2,0,7
55601154456,201705,118.49,0,0,1,2,0,4
55601154704,201707,276.97,1,0,6,4,0,6
55601158362,201707,348.61,0,0,3,5,0,8
55601159576,201709,1496.6,1,0,17,4,1,18
55601160024,201706,79.98,1,0,1,2,0,2
55601160622,201707,159.96,0,0,3,3,0,5
55601163795,201703,404.75,1,0,14,1,0,2
55601165573,201704,471.76,1,0,9,1,0,2
55601168543,201701,298.95,1,0,12,3,0,10
55601171624,201707,266.97,1,0,3,1,0,4
55601172027,201703,635.09,1,0,19,4,3,18
55601172445,201704,99.99,0,0,1,1,0,1
55601178566,201707,149.47,0,0,3,1,0,1
55601178681,201705,142.2,1,0,1,2,0,2
55601182211,201705,121.48,1,0,1,3,0,3
55601182785,201701,371.48,0,0,4,3,0,7
55601190650,201707,785.12,1,0,15,3,1,13
55601190795,201703,182,0,0,1,2,0,2
55601193077,201704,69.98,0,0,1,1,0,2
55601197646,201702,148.98,1,0,1,3,0,4
55601205103,201708,167.97,0,0,2,3,0,9
55601212134,201701,301.44,1,0,8,4,1,16
55601215285,201708,75.99,0,0,1,2,0,2
55601217207,201709,78,1,0,1,1,0,1
55601220302,201704,192.49,1,0,4,2,0,2
55601222496,201706,188.98,0,0,1,3,0,9
55601225275,201705,35.97,1,0,1,0,0,1
55601227615,201709,661.94,1,0,5,4,1,11
55601229800,201701,70.95,0,0,15,3,0,8
55601233724,201706,139.5,0,0,1,1,0,1
55601233883,201710,542.34,1,0,8,3,1,14
55601234480,201706,49,0,0,2,2,0,3
55601234761,201703,434.97,1,1,5,4,0,14
55601238271,201704,159.95,0,0,5,3,0,11
55601238617,201705,322.49,1,0,5,4,0,5
55601246403,201705,24.5,0,0,3,0,0,1
55601249352,201705,104.99,0,0,1,4,0,5
55601257182,201704,206,0,0,1,3,0,3
55601259803,201709,124.99,1,0,2,0,0,0
55601275791,201707,131.73,0,0,1,2,0,7
55601279816,201709,129.98,0,0,1,2,0,2
55601289277,201705,168.74,0,0,1,4,0,6
55601290031,201705,181,0,0,1,3,0,4
55601291177,201710,248.93,0,0,2,4,0,6
55601307571,201708,337.35,0,0,8,2,0,4
55601335460,201705,1603.65,1,1,10,10,5,40
55601355617,201711,88.99,1,1,4,2,0,3
55601357453,201707,124.21,0,0,2,2,0,4
55601362514,201707,544,0,1,5,7,0,12
55601363065,201710,164.99,1,0,5,5,0,8
55601368062,201707,141.98,1,0,1,3,1,3
55601369456,201702,258.97,1,0,6,3,0,6
55601374337,201709,489.5,1,0,5,12,0,16
55601377264,201707,99.73,0,0,2,4,0,6
55601384103,201704,880.04,1,0,14,8,0,38
55601389177,201711,190.98,1,0,4,2,0,5
55601392315,201706,212.91,0,0,4,1,0,4
55601393453,201705,275.97,1,0,3,2,0,3
55601394184,201703,88.99,0,0,1,3,0,3
55601397154,201705,111,0,0,2,3,0,9
55601403406,201709,239.5,0,0,3,5,0,6
55601404814,201707,68.98,0,0,2,2,0,3
55601406467,201707,158.98,0,0,1,4,0,5
55601416842,201711,202,0,0,1,3,0,3
55601429035,201709,344.99,0,0,1,6,0,6
55601432671,201708,80.49,1,1,3,4,0,12
55601446160,201705,132.72,0,0,1,1,0,2
55601446935,201705,292.98,0,0,4,4,0,11
55601456893,201711,100.99,0,0,1,1,0,1
55601459005,201704,116.99,1,0,1,1,0,1
55601469107,201703,70.24,1,0,2,2,0,4
55601475702,201705,98.25,0,0,2,3,0,4
55601476747,201704,292.97,0,0,3,0,0,1
55601478763,201707,76.5,0,0,1,1,0,2
55601486614,201705,560.71,0,0,3,8,0,17
55601488302,201710,73.48,1,0,3,3,0,6
55601492691,201705,391.94,1,0,4,4,0,11
55601494217,201702,70,0,0,1,3,0,5
55601496233,201706,77,0,0,1,2,0,2
55601496875,201705,117.5,0,0,2,4,0,5
55601498675,201711,83,1,0,3,0,0,0
55601512331,201703,871.28,1,0,24,5,2,22
55601512364,201708,710.71,1,0,10,1,0,3
55601516537,201706,621,0,1,5,6,0,11
55601523964,201709,531,0,1,2,4,0,12
55601525616,201704,118,0,0,1,1,0,1
55601531491,201711,532.76,1,0,7,5,2,10
55601532492,201703,563.19,1,0,4,2,1,5
55601532502,201706,135,1,0,1,2,0,5
55601538216,201705,15.99,0,0,1,4,0,4
55601551086,201705,156,0,0,1,3,0,4
55601557185,201701,194.98,0,0,2,6,0,17
55601563452,201711,197.2,0,0,4,4,0,9
55601568323,201705,313.75,1,0,2,4,0,11
55601569360,201711,68.25,0,0,3,0,0,0
55601570234,201703,288.98,1,0,5,10,0,22
55601575141,201706,219.99,0,0,1,2,0,4
55601575231,201711,1245.26,1,1,9,1,0,4
55601582767,201711,59,0,0,1,2,0,2
55601586651,201704,897.19,1,0,15,5,0,16
55601587292,201701,747.01,1,0,7,1,0,5
55601588552,201708,1115.52,1,1,23,9,2,37
55601589405,201711,286.98,0,0,2,4,0,4
55601591172,201707,89.99,0,0,2,2,0,3
55601591666,201703,610.47,1,0,11,2,0,8
55601592252,201709,318.98,1,0,3,4,0,6
55601598045,201702,1468.39,1,1,12,0,0,1
55601599611,201709,286.89,0,0,6,4,0,13
55601603206,201711,146.98,1,0,2,6,0,15
55601607271,201711,125,0,0,1,3,0,5
55601609363,201707,1546.71,1,0,23,1,0,7
55601621567,201706,92.73,0,0,1,3,0,3
55601621624,201705,278,0,0,2,2,0,7
55601629390,201709,250.99,0,0,7,0,0,0
55601629736,201701,348.7,1,0,15,0,0,0
55601630635,201704,86,0,0,1,1,0,2
55601633313,201706,381.95,1,0,3,5,1,10
55601637490,201704,594.44,1,0,8,0,0,1
55601637623,201710,47.97,1,0,4,0,0,0
55601641785,201711,59.99,0,0,1,1,0,1
55601645284,201708,782.15,1,0,11,4,0,20
55601645341,201706,83.5,1,0,3,3,0,3
55601646296,201710,206.5,1,0,3,1,0,1
55601650053,201707,104.96,0,0,1,2,0,3
55601653272,201711,452,0,0,9,1,0,6
55601665761,201706,93.98,0,0,1,3,0,3
55601666997,201710,185.95,1,0,6,1,0,3
55601669293,201706,359.9,0,0,1,4,0,6
55601673331,201704,49.5,1,0,2,3,0,3
55601678181,201705,952.25,1,0,26,11,0,45
55601678202,201707,102.46,0,0,1,4,0,5
55601683127,201708,69.98,0,0,1,2,0,3
55601685785,201708,496.42,1,0,4,8,0,19
55601686245,201704,29,0,0,1,1,0,1
55601686786,201707,231,0,0,1,3,0,3
55601691061,201703,943.48,1,0,23,6,0,25
55601693827,201701,331.14,1,0,6,4,0,14
55601697146,201706,128.98,0,0,1,2,0,3
55601698781,201703,184.94,1,0,5,5,0,9
55601698936,201702,791.67,1,0,11,2,0,7
55601699375,201708,415.84,1,0,7,1,0,6
55601700950,201703,524.49,1,0,7,10,0,22
55601703896,201705,402,0,0,1,4,0,7
55601705843,201705,88.98,0,0,1,2,0,3
55601706055,201705,166.99,0,0,1,4,0,6
55601706066,201709,35,0,0,1,2,0,2
55601711163,201704,35.1,1,0,2,1,0,3
55601712254,201708,351.47,1,0,1,8,0,12
55601712582,201708,442.96,0,0,2,7,0,14
55601720307,201711,78,0,0,2,0,0,3
55601723616,201707,201.52,1,0,11,8,0,11
55601729142,201706,136,0,0,1,1,0,1
55601731121,201708,275,0,0,3,3,0,8
55601733516,201705,158.74,0,0,2,3,0,5
55601735035,201708,411,0,0,3,8,0,10
55601735644,201705,138,0,0,2,2,0,5
55601737725,201709,260.99,1,0,6,5,0,6
55601738470,201709,122.5,0,0,2,4,0,5
55601741980,201706,91,0,0,1,2,0,4
55601743957,201703,1014.08,1,0,11,8,1,29
55601753972,201709,75.7,0,0,4,0,0,1
55601757684,201706,236.45,0,0,1,5,0,6
55601760697,201707,146,0,0,5,4,0,6
55601764253,201705,68.97,1,0,1,5,0,9
55601765391,201707,556.74,1,0,5,8,0,18
55601768235,201703,98,0,0,1,1,0,4
55601770777,201711,687.84,0,0,7,6,0,13
55601772533,201703,179.24,0,0,5,2,0,4
55601773916,201710,245,0,0,3,2,0,5
55601777923,201705,359.18,1,0,3,1,0,3
55601786505,201706,739.92,1,0,8,1,0,4
55601790410,201709,335.96,0,0,1,3,0,8
55601793662,201705,147.98,0,0,3,2,0,5
55601794616,201708,78,0,0,1,1,0,3
55601798443,201708,793.5,1,0,7,18,6,57
55601799004,201710,423.74,0,0,4,2,0,4
55601801297,201704,113.99,0,0,3,2,0,3
55601809422,201709,34,0,0,1,1,0,1
55601810750,201711,59,1,0,1,3,0,5
55601815430,201704,422.5,0,0,2,7,0,18
55601817476,201701,221.94,0,0,3,2,0,4
55601819131,201705,397.36,1,0,7,2,0,9
55601830075,201704,382.43,1,0,5,1,0,3
55601832516,201704,258.3,1,1,1,1,0,2
55601835490,201708,517.96,0,0,4,6,0,10
55601836736,201709,301.45,1,0,4,1,0,2
55601840663,201705,366.44,1,0,3,3,0,5
55601843093,201708,439.36,1,0,7,6,1,16
55601844216,201707,80.97,0,0,1,2,0,4
55601847075,201705,139.5,0,0,1,1,0,1
55601849336,201705,1300.96,1,0,9,5,0,13
55601851045,201707,279.94,0,0,2,5,0,11
55601868971,201709,482.98,0,0,2,6,0,9
55601873986,201706,271.38,0,0,2,4,0,7
55601886845,201706,105.5,0,0,1,1,0,4
55601888195,201710,321.96,1,0,7,4,1,11
55601899773,201709,74.81,0,1,2,1,0,1
55601904880,201703,73,0,0,1,1,0,2
55601911291,201711,140.98,0,0,3,5,0,10
55601911864,201705,160.2,1,0,1,2,0,2
55601925702,201710,125.97,1,0,6,3,1,5
55601934115,201707,158,1,1,1,2,0,2
55601935815,201707,68.99,0,0,4,0,0,1
55601940992,201711,236.97,0,0,3,2,0,4
55601941463,201703,69.37,1,0,2,4,0,9
55601941971,201709,389.97,1,0,2,5,0,9
55601945290,201707,116.99,0,0,1,2,0,3
55601945614,201711,156.98,0,0,2,2,0,4
55601951363,201709,291.43,1,0,6,4,1,10
55601958171,201708,777.47,1,0,6,10,0,19
55601960486,201706,68,0,0,1,1,0,2
55601964727,201707,453,0,0,1,3,0,5
55601964897,201707,2350.83,1,0,23,4,1,16
55601965483,201706,138.98,0,0,4,4,0,7
55601967441,201711,429,0,0,2,0,0,1
55601969771,201710,233.42,0,0,5,9,0,21
55601976023,201705,156,0,0,1,3,0,5
55601977442,201706,263.97,0,0,5,3,0,5
55601983043,201702,69.98,0,0,1,2,0,2
55601984686,201703,2205.58,1,0,29,9,1,45
55601985225,201704,592.19,1,0,1,8,0,10
55601986792,201706,106.99,0,0,1,2,0,3
55601987083,201707,189.97,1,0,1,2,0,2
55601987555,201707,236.64,0,0,2,1,0,3
55601989841,201702,60,1,0,1,3,0,6
55601993123,201704,207.99,0,0,3,2,0,7
55601997163,201711,161,1,0,1,2,0,2
55601998863,201711,521.5,0,0,4,7,0,20
55602010647,201705,468.71,0,0,4,6,0,12
55602012425,201711,536.31,0,0,4,4,0,9
55602013033,201706,190.98,0,0,11,10,0,16
55602013844,201706,356.95,1,0,6,6,0,8
55602028493,201708,87,0,0,1,0,0,0
55602037392,201702,251.96,0,0,2,4,0,7
55602037716,201706,745,0,0,26,7,0,30
55602037864,201707,630.84,1,0,2,4,0,13
55602041135,201708,427.29,1,0,11,1,0,4
55602046536,201705,138.98,0,0,4,7,0,8
55602048617,201702,133.4,0,0,2,3,0,5
55602051374,201701,183,1,0,3,3,1,6
55602052533,201709,131.32,0,0,3,3,0,5
55602054265,201707,106.95,1,0,5,5,0,6
55602055312,201704,158,0,0,1,2,0,2
55602055424,201704,93,0,0,1,2,0,2
55602055842,201707,34.99,0,0,3,4,0,5
55602062646,201709,394.92,1,0,5,4,0,7
55602063290,201704,98,0,0,1,1,0,4
55602064086,201704,222,1,0,2,4,0,5
55602064932,201708,39,0,0,1,1,0,1
55602065122,201704,176.46,1,0,1,5,0,13
55602067214,201707,793.12,1,1,7,9,3,35
55602075934,201701,123.47,0,0,2,3,0,5
55602077893,201704,132,0,0,1,1,0,3
55602078634,201707,90.99,1,0,1,2,0,3
55602081207,201708,348.37,1,0,12,3,0,5
55602081636,201707,197.17,0,0,1,3,0,9
55602086057,201710,116.71,1,0,2,0,0,1
55602094272,201701,20.98,0,0,2,1,0,4
55602108636,201708,583.43,1,0,5,3,0,10
55602111371,201711,100.98,0,0,2,1,0,3
55602111922,201709,702.33,0,0,5,10,1,26
55602120357,201710,49.99,0,0,1,1,0,1
55602122870,201708,94.48,0,0,3,4,0,5
55602125570,201707,107,0,0,1,2,0,2
55602127637,201704,507.96,1,0,5,3,1,6
55602129484,201708,103.98,1,0,2,2,0,4
55602129844,201711,601.18,1,0,7,5,1,15
55602130855,201707,486.46,0,0,7,1,0,4
55602131812,201702,116.49,0,0,9,0,0,2
55602135300,201707,201.95,0,0,3,3,0,7
55602137155,201707,114.98,1,0,4,3,0,3
55602142241,201701,127.49,0,0,6,0,0,2
55602143387,201706,393.95,1,0,1,5,0,9
55602145897,201704,882.88,1,1,7,3,0,11
55602150147,201707,137.98,0,0,1,2,0,5
55602154493,201703,471.58,1,0,6,5,0,13
55602154572,201706,89.49,0,0,1,2,0,2
55602154651,201704,133,0,0,1,2,0,3
55602155010,201705,155.03,1,0,1,3,0,3
55602161084,201709,97.5,1,0,1,3,0,4
55602161163,201701,34.98,1,0,4,2,0,4
55602161660,201706,152,0,0,1,1,0,6
55602163370,201707,587.98,1,1,3,3,0,5
55602170941,201703,150.98,1,0,1,1,0,2
55602172107,201706,105.99,1,0,1,4,0,8
55602175867,201706,68.5,0,0,1,1,0,2
55602183653,201705,356.46,1,1,5,6,0,11
55602184315,201705,226,0,0,1,3,0,4
55602186151,201704,98.98,0,0,1,3,0,3
55602193304,201711,20,0,0,3,2,0,3
55602199494,201711,153.93,0,0,3,8,0,10
55602204385,201708,280.83,1,0,5,2,0,5
55602213396,201709,809.86,0,0,7,17,1,39
55602216016,201707,123.98,1,0,1,4,0,4
55602221867,201709,99.99,0,0,1,1,0,1
55602223544,201707,80.98,0,0,11,2,0,6
55602226853,201711,4348.49,1,1,62,9,6,96
55602236537,201707,202.32,0,0,2,5,0,9
55602238056,201706,209.95,0,0,3,5,0,6
55602239204,201707,85.49,0,0,1,3,0,3
55602241306,201710,275.93,1,0,3,2,0,8
55602251862,201710,155.98,0,0,7,2,0,4
55602252175,201711,49,1,0,3,0,0,3
55602254933,201708,202.4,0,0,7,6,0,14
55602260750,201711,305.39,1,0,5,6,0,18
55602261355,201703,104.96,1,0,2,3,0,5
55602268321,201709,643.61,0,0,17,9,1,27
55602269300,201702,363.25,1,0,4,3,0,6
55602270287,201708,263.2,0,0,1,6,1,7
55602274081,201708,219.92,0,0,4,7,0,8
55602281652,201706,89.97,0,0,1,2,0,3
55602281807,201708,235.49,0,0,4,8,0,11
55602281977,201707,126.97,0,0,7,13,0,23
55602282484,201710,725.63,1,0,12,6,1,14
55602284385,201709,245,0,0,1,4,0,4
55602285263,201709,206,1,0,1,4,0,4
55602286051,201708,69.47,0,0,1,1,0,2
55602295095,201710,68,0,0,1,0,0,0
55602296683,201703,40.5,0,0,1,1,0,2
55602297370,201710,196.98,0,0,2,1,0,2
55602298991,201709,389.34,1,0,2,4,0,7
55602299967,201707,79.2,1,0,2,4,0,5
55602302485,201703,381.96,0,0,4,2,0,6
55602303543,201701,110.93,0,0,1,1,0,4
55602315737,201707,68,0,0,1,0,0,0
55602319823,201709,794.5,1,0,2,3,0,13
55602320801,201709,129.46,1,0,2,3,1,5
55602323084,201704,127,0,0,1,1,0,4
55602329767,201705,494.48,1,0,4,2,0,11
55602333931,201709,80.99,1,0,2,5,0,5
55602334233,201701,1030.47,1,0,15,6,2,22
55602335922,201704,104.4,1,0,1,1,0,4
55602340713,201706,238.95,0,0,1,5,0,7
55602340793,201709,293.25,1,0,2,0,0,1
55602341895,201706,118.96,0,0,1,3,0,4
55602343897,201711,83.98,0,0,5,5,0,11
55602344313,201711,314.5,0,1,5,3,1,6
55602345077,201704,600.25,1,0,11,8,1,20
55602345934,201711,848.98,1,0,1,5,0,8
55602346012,201704,334.85,1,0,10,6,0,13
55602348861,201703,350.49,1,0,5,8,0,12
55602358635,201709,274.98,1,0,1,5,0,6
