cid,flag_included,flag_buy
55600355731,0,0
55600362975,0,0
55600364065,1,0
55600365181,1,0
55600366643,1,0
55600367194,1,0
55600374981,0,0
55600375214,1,0
55600381705,1,0
55600386227,0,0
55600390954,1,0
55600392282,0,0
55600397423,1,0
55600398176,1,0
55600400446,1,1
55600406307,1,0
55600406400,0,0
55600412643,1,0
55600415376,0,0
55600417514,0,0
55600421654,0,0
55600421935,1,0
55600422734,1,0
55600423940,1,0
55600424387,1,0
55600426244,1,0
55600427177,1,0
55600427807,1,0
55600430135,0,0
55600432872,0,0
55600434964,0,0
55600436403,1,0
55600436414,1,0
55600438553,0,0
55600439824,1,1
55600442073,1,0
55600453244,0,0
55600465870,1,0
55600480086,0,0
55600480831,0,0
55600481537,0,0
55600484150,1,0
55600488615,1,0
55600488651,0,0
55600490191,1,0
55600490595,0,0
55600491754,1,1
55600492935,1,0
55600497525,1,0
55600502034,0,0
55600502203,0,0
55600502272,1,0
55600514736,0,0
55600515726,1,0
55600529882,0,0
55600531522,1,0
55600532534,0,0
55600536923,1,0
55600536981,1,0
55600538341,0,0
55600546124,1,0
55600553515,1,0
55600556677,0,0
55600588977,1,0
55600604422,0,0
55600605254,1,0
55600622004,0,0
55600628284,0,0
55600631231,1,1
55600637114,1,0
55600656577,0,0
55600661854,1,1
55600664712,0,0
55600676366,1,1
55600682226,0,0
55600702883,1,0
55600705075,0,0
55600715605,1,0
55600725181,1,1
55600742537,0,0
55600794976,0,0
55600804741,0,0
55600809713,0,0
55600821863,0,0
55600825384,1,1
55600826835,1,0
55600839741,1,0
55600869157,1,0
55600892931,0,0
55600902401,0,0
55600905541,1,0
55600906913,0,0
55600912176,1,0
55600912536,1,1
55600913414,0,0
55600913652,0,0
55600915294,1,1
55600916363,1,0
55600921886,0,0
55600925590,1,0
55600928694,1,0
55600928863,0,0
55600932530,1,0
55600933654,1,0
55600933892,1,1
55600933971,0,0
55600935104,1,1
55600936037,1,0
55600939054,1,0
55600947402,0,0
55600948786,1,0
55600950992,1,0
55600951856,1,0
55600952183,1,0
55600956446,1,0
55600969406,0,0
55600970756,1,0
55600972400,1,0
55600974402,0,0
55600976787,1,0
55600978114,1,0
55600979306,1,0
55600980814,1,0
55600989480,1,0
55600991186,1,0
55600995250,1,0
55600999207,1,0
55601000940,1,0
55601006531,0,0
55601008216,0,0
55601009387,0,0
55601010365,1,0
55601010581,1,1
55601010952,1,0
55601012910,1,0
55601013201,1,0
55601018952,1,0
55601021493,0,0
55601022267,0,0
55601022584,1,0
55601024812,0,0
55601025712,0,0
55601025947,1,1
55601030864,1,0
55601032033,0,0
55601032271,0,0
55601037863,0,0
55601038356,0,0
55601042124,1,0
55601044555,1,0
55601044904,0,0
55601045321,1,0
55601047356,1,0
55601049901,0,0
55601050246,1,0
55601056356,0,0
55601060351,1,0
55601061147,1,0
55601064221,0,0
55601067123,0,0
55601069532,1,0
55601070701,1,0
55601075144,1,0
55601077362,1,1
55601077791,0,0
55601078903,0,0
55601079670,0,0
55601082366,0,0
55601082481,0,0
55601083107,1,0
55601083705,1,0
55601085945,0,0
55601086870,0,0
55601089761,0,0
55601093562,1,0
55601093807,1,0
55601098602,1,1
55601103302,0,0
55601104530,0,0
55601106882,1,1
55601107782,1,0
55601108794,1,0
55601109614,1,0
55601111716,0,0
55601115035,1,0
55601121911,0,0
55601122844,1,0
55601123643,1,0
55601124994,1,0
55601126185,1,0
55601132247,1,1
55601135624,0,0
55601137143,1,0
55601137604,1,0
55601138595,0,0
55601139787,0,0
55601140440,1,1
55601140754,1,0
55601144411,0,0
55601146312,1,0
55601149182,0,0
55601153015,1,0
55601153206,1,0
55601154074,1,1
55601154456,1,0
55601154704,1,0
55601158362,0,0
55601159576,1,0
55601160024,1,0
55601160622,1,0
55601163795,1,1
55601165573,1,0
55601168543,1,1
55601171624,1,0
55601172027,1,1
55601172445,1,0
55601178566,0,0
55601178681,1,0
55601182211,1,0
55601182785,0,0
55601190614,1,1
55601190650,1,0
55601190795,1,0
55601190852,0,0
55601193077,1,0
55601197646,1,0
55601205103,1,1
55601212134,1,0
55601215285,1,0
55601217207,0,0
55601220302,1,0
55601222496,1,0
55601225275,1,0
55601226582,1,0
55601227615,1,0
55601229800,0,0
55601233724,0,0
55601233883,1,0
55601234480,1,1
55601234761,1,0
55601238271,0,0
55601238617,0,0
55601246403,1,0
55601248982,0,0
55601249352,1,0
55601257182,0,0
55601257384,0,0
55601259803,0,0
55601269286,1,0
55601275791,1,0
55601278714,0,0
55601279816,0,0
55601284993,1,0
55601289277,0,0
55601290031,1,0
55601291177,1,0
55601307571,0,0
55601335460,1,0
55601345234,1,0
55601347034,0,0
55601353853,1,0
55601355617,1,0
55601357453,1,0
55601359037,0,0
55601362514,1,1
55601362651,1,0
55601363065,1,0
55601368062,1,0
55601369456,1,0
55601374337,0,0
55601377264,0,0
55601384103,1,0
55601389177,0,0
55601392315,1,0
55601393453,1,0
55601394184,0,0
55601396942,0,0
55601397154,1,0
55601403406,1,0
55601403655,1,0
55601404814,1,0
55601406467,0,0
55601416842,1,0
55601417021,1,0
55601429035,0,0
55601432671,0,0
55601445192,1,0
55601446160,1,0
55601446935,0,0
55601456893,0,0
55601459005,1,0
55601469107,1,0
55601475702,0,0
55601476747,1,1
55601477896,0,0
55601478190,0,0
55601478763,0,0
55601483273,1,0
55601486614,1,1
55601488090,1,0
55601488302,1,0
55601491034,1,0
55601492691,1,0
55601493137,1,0
55601494217,1,0
55601496233,1,0
55601496875,1,0
55601498675,1,0
55601505401,1,0
55601512137,1,1
55601512331,0,0
55601512364,1,1
55601516537,0,0
55601523964,1,0
55601525616,1,0
55601531491,0,0
55601532492,1,0
55601532502,1,1
55601538216,0,0
55601551086,0,0
55601557185,1,0
55601563452,1,0
55601568323,1,0
55601569360,1,0
55601570234,0,0
55601575141,1,0
55601575231,1,0
55601582767,1,0
55601586651,1,1
55601587292,0,0
55601588552,0,0
55601589405,1,0
55601591172,1,0
55601591666,1,1
55601592205,1,0
55601592252,1,0
55601598045,0,0
55601599611,1,1
55601603206,1,1
55601604917,1,0
55601607271,1,0
55601609363,0,0
55601619511,1,0
55601621567,1,0
55601621624,0,0
55601629390,0,0
55601629736,1,1
55601630635,1,0
55601633313,1,0
55601637490,0,0
55601637623,1,0
55601641785,1,0
55601645284,0,0
55601645341,0,0
55601646296,0,0
55601649233,1,0
55601650053,1,0
55601653272,0,0
55601665761,1,0
55601666997,0,0
55601669293,0,0
55601673331,1,1
55601678181,1,0
55601678202,1,0
55601683127,1,0
55601685785,0,0
55601686245,1,0
55601686786,0,0
55601691061,1,1
55601693827,1,0
55601697146,1,0
55601698781,1,0
55601698936,0,0
55601699375,1,0
55601700950,1,1
55601703896,1,0
55601705843,0,0
55601706055,1,0
55601706066,1,0
55601711163,1,0
55601712254,0,0
55601712582,0,0
55601720220,1,0
55601720307,1,0
55601723616,1,0
55601729142,1,0
55601731121,1,0
55601733516,1,0
55601735035,1,0
55601735644,1,1
55601737725,1,0
55601738470,0,0
55601741980,1,0
55601743957,0,0
55601745793,0,0
55601753972,0,0
55601756467,0,0
55601757684,1,1
55601760697,1,0
55601764253,1,0
55601765391,0,0
55601768235,0,0
55601769102,0,0
55601770777,0,0
55601772533,1,0
55601773916,0,0
55601777923,0,0
55601786505,0,0
55601790410,1,0
55601793662,0,0
55601794616,1,0
55601798443,1,0
55601799004,1,0
55601801297,0,0
55601809422,0,0
55601810750,1,0
55601815430,1,0
55601817476,1,0
55601819131,1,0
55601830075,1,0
55601832516,1,0
55601834226,1,0
55601835490,1,0
55601836736,0,0
55601840663,0,0
55601843093,1,1
55601844216,0,0
55601847075,1,0
55601849336,1,0
55601851045,1,0
55601868971,1,0
55601870284,1,0
55601873986,0,0
55601886845,0,0
55601888195,1,0
55601899773,1,0
55601904880,1,0
55601911291,1,0
55601911864,1,0
55601925702,0,0
55601934115,1,0
55601935815,0,0
55601940992,1,0
55601941463,1,0
55601941971,1,0
55601945290,1,0
55601945614,1,1
55601951363,1,0
55601951406,0,0
55601954535,1,0
55601958171,1,0
55601960486,1,0
55601964727,1,0
55601964897,0,0
55601965483,0,0
55601965731,1,0
55601966372,1,1
55601967441,0,0
55601969771,1,0
55601976023,1,0
55601977442,1,0
55601983043,1,0
55601984686,1,0
55601985225,1,0
55601986792,1,0
55601987083,1,0
55601987555,1,0
55601989841,1,0
55601993123,1,0
55601997163,1,0
55601998661,0,0
55601998863,1,0
55602004112,0,0
55602010647,1,0
55602011121,1,0
55602012425,1,0
55602013033,1,0
55602013844,1,0
55602024464,1,0
55602028493,1,0
55602037392,0,0
55602037716,1,1
55602037864,0,0
55602041135,1,1
55602046536,1,0
55602048617,0,0
55602051374,1,0
55602052533,1,0
55602054265,1,0
55602055312,0,0
55602055424,1,0
55602055842,0,0
55602059903,1,0
55602062646,1,0
55602063290,1,0
55602064086,1,0
55602064932,1,0
55602065122,0,0
55602067214,1,0
55602070227,1,0
55602075934,1,0
55602077893,0,0
55602078195,1,0
55602078634,0,0
55602081207,0,0
55602081636,1,0
55602086057,1,0
55602094272,0,0
55602096577,1,0
55602097592,0,0
55602108636,0,0
55602111371,0,0
55602111922,1,0
55602117816,1,1
55602120357,1,0
55602122870,1,0
55602125570,0,0
55602127637,1,0
55602129484,1,0
55602129844,1,0
55602130855,1,1
55602131812,1,0
55602131834,0,0
55602135300,1,0
55602137155,1,0
55602138527,0,0
55602142241,1,0
55602143387,1,0
55602145550,0,0
55602145897,0,0
55602150147,0,0
55602154493,1,0
55602154572,0,0
55602154651,1,0
55602155010,1,0
55602161084,1,0
55602161163,1,0
55602161660,1,0
55602163370,1,0
55602165800,1,0
55602169127,0,0
55602170015,1,0
55602170941,1,0
55602171625,1,0
55602172107,1,0
55602175867,1,0
55602181006,0,0
55602183653,1,0
55602184315,0,0
55602186151,1,0
55602193304,1,0
55602194330,0,0
55602199494,1,0
55602204385,1,0
55602213396,0,0
55602216016,1,0
55602221867,1,0
55602223083,1,0
55602223544,1,0
55602226853,0,0
55602235190,1,0
55602236537,1,0
55602238056,0,0
55602239204,1,0
55602241306,0,0
55602251862,1,1
55602252175,1,0
55602254933,0,0
55602260750,1,0
55602261355,1,0
55602262514,0,0
55602265744,1,1
55602265902,1,1
55602268321,1,0
55602269300,1,0
55602270287,1,0
55602274081,1,0
55602281652,0,0
55602281807,0,0
55602281977,1,0
55602282484,0,0
55602284385,1,0
55602285263,1,1
55602286051,1,0
55602288695,0,0
55602294072,1,0
55602295095,1,0
55602296683,0,0
55602297370,0,0
55602298685,1,0
55602298991,0,0
55602299967,0,0
55602302485,1,0
55602303543,0,0
55602306964,1,0
55602307200,0,0
55602315737,1,0
55602319823,1,0
55602320801,0,0
55602323084,0,0
55602325897,1,0
55602329103,0,0
55602329767,0,0
55602333931,1,0
55602334233,1,0
55602335922,1,0
55602340713,1,0
55602340793,1,0
55602341895,1,0
55602343031,0,0
55602343897,1,0
55602344313,0,0
55602345077,0,0
55602345934,1,0
55602346012,1,0
55602348861,0,0
55602354325,1,0
55602356453,1,0
55602357782,1,0
55602358635,1,0
55602359625,1,0
55602366285,0,0
55602368311,1,1
55602370266,1,0
55602384375,1,0
55602386715,1,0
55602391171,1,0
55602393847,1,0
55602395502,1,0
55602397537,1,1
55602398844,1,1
55602401340,1,0
55602401867,1,0
55602402576,1,0
55602403014,0,0
55602403645,1,0
55602403825,1,0
55602411510,0,0
55602411792,0,0
55602416551,1,0
55602420396,0,0
55602422873,1,0
55602422952,1,0
55602423131,0,0
55602423975,1,0
55602430274,1,0
55602432694,0,0
55602436867,0,0
55602442842,1,0
55602443832,1,0
55602444437,0,0
55602446813,1,1
55602448105,0,0
55602448750,0,0
55602449975,1,0
55602452403,0,0
55602454474,0,0
55602455060,1,0
55602456353,1,1
55602456397,1,0
55602462563,0,0
55602463416,0,0
55602466387,0,0
55602467027,1,0
55602467636,1,0
55602468291,1,0
55602468716,1,0
55602469302,1,0
55602470630,1,0
55602476186,0,0
55602477637,1,0
55602477831,0,0
55602478911,0,0
55602479855,1,0
55602481823,1,0
55602482204,0,0
55602482893,0,0
55602486031,1,0
55602489135,0,0
55602495154,1,0
55602495785,1,0
55602496302,1,0
55602500070,1,0
55602500607,0,0
55602500755,0,0
55602505727,1,0
55602509385,0,0
55602510341,1,0
55602517690,1,0
55602519814,0,0
55602528173,1,0
55602528566,1,0
55602529444,1,0
55602529783,1,0
55602531762,1,0
55602536734,1,0
55602536857,0,0
55602537296,1,0
55602537771,1,1
55602543440,0,0
55602543585,1,0
55602547930,1,0
55602551177,1,0
55602552620,1,0
55602554903,0,0
55602557355,0,0
55602563237,1,0
55602567266,1,0
55602568504,1,0
55602571272,1,0
55602572903,1,1
55602574930,1,0
55602576785,1,0
55602580690,1,0
55602581035,0,0
55602582692,1,0
55602587260,1,0
55602588791,1,0
55602589125,1,0
55602589161,0,0
55602591061,1,1
55602595584,0,0
55602597146,1,0
55602598453,1,1
55602598554,1,0
55602601083,1,0
55602602736,1,0
55602603243,0,0
55602603986,0,0
55602608950,1,1
55602611127,1,0
55602614483,0,0
55602619387,1,0
55602619736,1,0
55602620073,1,0
55602621683,1,0
55602622053,1,0
55602622547,1,0
55602625463,1,0
55602630377,1,0
55602630380,1,0
55602632201,1,0
55602633787,0,0
55602635532,1,0
55602635802,0,0
55602646747,1,0
55602647906,1,0
55602649090,1,1
55602651891,1,0
55602652665,1,0
55602652982,1,0
55602654274,1,0
55602654962,0,0
55602655242,1,0
55602657626,1,1
55602659505,0,0
55602661687,0,0
55602662521,1,0
55602663061,1,0
55602664916,1,0
55602667494,0,0
55602668404,1,0
55602668710,0,0
55602669575,1,0
55602670733,1,0
55602675626,1,0
55602676551,1,1
55602676706,0,0
55602679002,1,0
55602682040,1,0
55602684604,1,0
55602687081,1,0
55602688024,1,0
55602688046,0,0
55602689782,1,0
55602697644,1,0
55602702322,0,0
55602706870,1,0
55602708937,0,0
55602709422,1,1
55602716475,0,0
55602717126,1,0
55602726623,0,0
55602728650,1,0
55602728694,1,1
55602728704,1,0
55602729154,0,0
55602730752,1,0
55602732541,1,0
55602732877,0,0
55602732891,0,0
55602737027,1,0
55602737557,0,0
55602739731,1,0
55602739944,0,0
55602742780,1,0
55602745930,1,0
55602747370,1,0
55602748652,1,0
55602754040,1,0
55602755481,1,0
55602756143,1,1
55602758170,1,0
55602763851,1,0
55602763916,0,0
55602764546,1,0
55602766652,0,0
55602768081,1,0
55602769374,1,0
55602771342,1,0
55602773661,1,0
55602774921,1,0
55602775087,0,0
55602775403,1,0
55602776923,0,0
55602783583,1,0
55602784144,0,0
55602791942,0,0
55602793584,1,1
55602794091,0,0
55602799380,1,0
55602803810,1,0
55602806947,1,0
55602810715,1,0
55602815442,1,0
55602821177,0,0
55602828705,1,0
55602830191,1,1
55602830573,1,0
55602834612,1,0
55602848123,1,0
55602848213,1,0
55602856786,1,0
55602863117,0,0
55602864053,1,0
55602865360,1,0
55602865652,1,0
55602866891,0,0
55602870410,1,0
55602872964,1,0
55602873042,1,0
55602877305,1,0
55602883360,1,0
55602884606,1,0
55602891932,0,0
55602894182,1,0
55602906317,1,0
55602917636,0,0
55602924692,1,0
55602937616,0,0
55602937887,0,0
55602949587,1,0
55602950666,0,0
55602953142,1,0
55602957023,1,1
55602967666,1,0
55602969220,1,0
55602971492,1,0
55602972053,1,1
55602972266,1,0
55602979322,1,0
55602986803,1,1
55602987026,1,0
55602987660,1,0
55602990921,1,0
55602992440,1,0
55602993160,1,0
55602993553,1,0
55602993791,1,0
55603004157,1,0
55603004203,1,0
55603004801,1,0
55603007365,1,0
55603008740,0,0
55603009583,1,0
55603010763,0,0
55603011155,0,0
55603013081,0,0
55603015014,1,1
55603015555,1,0
55603020122,1,1
55603022236,1,1
55603022755,1,0
55603031012,0,0
55603031113,1,0
55603033061,1,0
55603036640,0,0
55603037706,0,0
55603043376,1,0
55603047011,1,0
55603048823,1,0
55603049824,0,0
55603054020,1,0
55603057157,1,0
55603060962,1,0
55603070206,1,0
55603076114,1,1
55603077386,1,0
55603080931,1,0
55603081200,0,0
55603086241,1,0
55603087051,1,0
55603087952,1,1
55603090413,1,0
55603090594,1,0
55603092934,0,0
55603095296,1,0
55603098006,1,0
55603098796,1,1
55603099267,1,1
55603099526,1,0
55603101584,0,0
55603104723,0,0
55603107467,0,0
55603109515,1,0
55603116005,0,0
55603116434,1,0
55603118797,1,0
55603120314,0,0
55603120811,1,0
55603122060,1,0
55603123205,0,0
55603126244,1,0
55603127393,0,0
55603128721,1,1
55603128880,1,0
55603131994,1,0
55603132702,1,0
55603132825,0,0
55603137956,0,0
55603139341,1,0
55603141331,0,0
55603141612,1,1
55603143120,1,0
55603146732,0,0
55603148770,0,0
55603149612,0,0
55603154540,1,1
55603155347,1,0
55603155787,1,0
55603162097,1,0
55603166666,1,0
55603168130,1,0
55603170210,0,0
55603170524,1,0
55603171370,1,0
55603171864,0,0
55603177073,0,0
55603178467,0,0
55603178481,0,0
55603178964,1,1
55603179785,1,1
55603185973,1,0
55603186220,1,0
55603189663,1,0
55603191156,0,0
55603193002,0,0
55603194274,1,0
55603195660,1,0
55603195996,1,0
55603198786,1,0
55603200223,1,0
55603207075,1,1
55603207097,1,0
55603212251,1,0
55603212330,0,0
55603213274,0,0
55603215931,1,1
55603224715,1,0
55603226584,1,0
55603227800,1,0
55603232343,1,0
55603233661,0,0
55603234774,0,0
55603234820,0,0
55603235201,1,0
55603237373,1,1
55603238936,1,1
55603239443,0,0
55603247125,1,1
55603247633,0,0
55603251704,1,0
55603256172,1,0
55603258534,1,1
55603261277,0,0
55603264012,0,0
55603265442,1,0
55603273362,1,0
55603275151,1,0
55603284577,1,0
55603286942,0,0
55603289516,1,0
55603296345,0,0
55603298383,1,1
55603303320,0,0
55603305096,0,0
55603308923,1,1
55603309801,1,0
55603310564,1,0
55603312670,1,0
55603313501,1,0
55603314672,1,1
55603316472,0,0
55603336001,1,1
55603343911,1,1
55603364114,0,0
55603373150,1,0
55603375206,1,0
55603380653,1,0
55603383940,0,0
55603384837,0,0
55603385030,0,0
55603388992,0,0
55603394762,1,0
55603398001,0,0
55603409701,1,0
55603414301,1,0
55603423222,1,1
55603425934,0,0
55603428274,0,0
55603432550,0,0
55603432741,1,0
55603433494,1,0
55603441525,1,0
55603442180,1,1
55603448975,1,0
55603454035,1,0
55603465570,1,1
55603475751,1,0
55603480135,1,0
55603482364,0,0
55603490835,1,0
55603505270,1,0
55603517374,0,0
55603525812,1,0
55603526680,0,0
55603532865,1,0
55603534676,1,0
55603535554,1,0
55603536702,1,0
55603537387,1,0
55603543542,1,0
55603551033,0,0
55603560437,0,0
55603561236,0,0
55603562792,1,1
55603562802,1,0
55603567076,1,0
55603571442,0,0
55603583997,1,0
55603589263,1,0
55603595765,1,0
55603598490,0,0
55603603831,1,0
55603609736,0,0
55603610851,1,0
55603611207,0,0
55603622494,1,0
55603623617,1,0
55603631807,1,0
55603635476,1,0
55603647413,1,0
55603652172,1,0
55603667516,1,0
55603669352,0,0
55603672952,0,0
55603673153,1,0
55603674695,1,0
55603675537,1,0
55603675706,1,0
55603676347,1,0
55603680735,1,0
55603686531,0,0
55603686845,0,0
55603687792,1,0
55603688533,0,0
55603693911,1,0
55603694697,1,0
55603703663,1,0
55603703977,1,0
55603704697,0,0
55603709186,1,0
55603711020,1,0
55603713563,0,0
55603714124,1,0
55603716126,0,0
55603716951,1,0
55603718470,0,0
55603718492,0,0
55603719187,0,0
55603720424,0,0
55603721436,1,0
55603722170,0,0
55603723700,0,0
55603727456,0,0
55603728053,0,0
55603729111,1,1
55603731257,0,0
55603732067,1,1
55603733565,0,0
55603733590,0,0
55603734162,1,0
55603737673,1,0
55603740383,1,0
55603740970,1,1
55603741733,0,0
55603742680,1,0
55603743184,1,0
55603745931,1,0
55603745942,0,0
55603746006,1,0
55603747371,1,0
55603747494,1,0
55603749340,0,0
55603750056,1,0
55603753152,1,0
55603753332,1,0
55603753682,1,0
55603753895,1,0
55603755312,0,0
55603757192,0,0
55603759147,0,0
55603761894,1,0
55603768464,1,0
55603770331,1,0
55603770681,1,0
55603772931,1,0
55603773200,0,0
55603773954,1,0
55603777633,1,0
55603777871,0,0
55603781344,1,0
55603788660,1,1
55603793112,1,0
55603794326,0,0
55603796296,1,0
55603798243,1,0
55603798423,0,0
55603799976,1,0
55603802007,1,1
55603802270,1,0
55603802685,1,0
55603802720,1,0
55603805507,1,0
55603806195,0,0
55603807185,1,0
55603807613,1,0
55603810435,0,0
55603811911,1,0
55603812617,0,0
55603813171,1,0
55603814792,1,0
55603815847,0,0
55603816570,0,0
55603820100,1,0
55603820890,0,0
55603821394,1,0
55603824962,1,0
55603827651,1,0
55603828090,1,0
55603828371,1,0
55603829361,1,0
55603832846,0,0
55603836086,0,0
55603837007,1,0
55603838404,1,0
55603838606,1,0
55603840474,1,0
55603840575,0,0
55603842645,1,1
55603845110,0,0
55603846450,1,0
55603846876,1,0
55603847923,1,0
55603850396,1,0
55603850925,0,0
55603853997,0,0
55603854097,1,1
55603854525,1,0
55603854547,1,0
55603855922,1,0
55603856257,0,0
55603857247,1,0
55603857564,1,1
55603859995,0,0
55603863525,0,0
55603863752,0,0
55603866993,1,0
55603867363,0,0
55603867835,1,1
55603870545,1,1
55603871391,0,0
55603873292,1,0
55603873887,1,0
55603873900,0,0
55603877184,0,0
55603881345,1,0
55603890673,1,0
55603893146,0,0
55603893913,1,0
55603894745,0,0
55603895083,1,0
55603895320,1,0
55603896116,1,0
55603896130,1,0
55603896581,1,1
55603896873,1,0
55603897445,1,0
55603898291,0,0
55603902631,1,0
55603905601,1,1
55603906916,1,1
55603914915,1,1
55603920855,1,0
55603924783,1,0
55603928923,0,0
55603930452,1,0
55603931251,0,0
55603932861,0,0
55603936021,1,0
55603939972,1,0
55603946404,0,0
55603946642,0,0
55603948846,0,0
55603948871,1,1
55603954054,1,0
55603956395,0,0
55603960491,1,0
55603961254,1,0
55603963302,1,0
55603963720,0,0
55603964440,1,1
55603965676,1,0
55603966497,1,1
55603968400,1,0
55603968815,1,1
55603968974,1,0
55603970207,1,0
55603974463,1,0
55603979651,1,0
55603982314,1,0
55603996434,0,0
55603998865,1,0
55604000233,1,0
55604000547,1,0
55604003564,1,0
55604005306,1,0
55604008806,0,0
55604009054,0,0
55604013734,0,0
55604014940,0,0
55604015026,1,1
55604016874,1,1
55604021283,1,1
55604021384,1,0
55604021711,0,0
55604022284,0,0
55604023803,1,0
55604023951,1,0
55604029610,1,0
55604031914,1,0
55604034085,0,0
55604038892,1,0
55604038993,0,0
55604039262,1,0
55604040781,0,0
55604044763,0,0
55604048273,1,0
55604050566,0,0
55604051660,0,0
55604053684,1,0
55604054540,0,0
55604058137,1,0
55604069773,0,0
55604070197,0,0
55604074744,0,0
55604075284,1,0
55604076285,0,0
55604077062,1,0
55604077714,0,0
55604081627,1,0
55604082732,1,0
55604086523,1,0
55604091257,1,0
55604095127,0,0
55604095974,1,0
55604096524,1,0
55604100201,1,0
55604100627,1,0
55604100706,1,0
55604103316,1,0
55604104072,1,0
55604106784,0,0
55604107460,1,0
55604107806,1,0
55604110044,1,0
55604110314,1,0
55604113162,0,0
55604118686,1,0
55604119856,1,1
55604122760,0,0
55604122915,1,0
55604124827,0,0
55604126876,1,1
55604128575,0,0
55604128780,0,0
55604128856,0,0
55604129046,0,0
55604131036,1,0
55604132714,0,0
55604135450,1,0
55604139241,0,0
55604147600,1,0
55604148670,1,0
55604151661,1,0
55604152190,1,0
55604154314,0,0
55604157241,0,0
55604157317,1,0
55604167231,1,0
55604168287,1,1
55604178446,1,0
55604178572,1,0
55604197922,1,0
55604198325,1,0
55604203566,1,0
55604209474,1,0
55604215200,1,0
55604215244,1,0
55604219521,1,1
55604225043,1,1
55604233233,1,0
55604239703,1,0
55604242017,1,1
55604242910,0,0
55604245081,0,0
55604255363,1,0
55604258975,1,0
55604259842,0,0
55604263362,1,0
55604264860,0,0
55604267311,0,0
55604267874,1,1
55604269504,0,0
55604270641,1,0
55604273507,1,0
55604276650,0,0
55604277017,0,0
55604283861,1,0
55604288945,0,0
55604291507,1,0
55604294931,1,0
55604295187,1,0
55604295301,0,0
55604295820,1,0
55604297574,0,0
55604301172,1,0
55604301486,0,0
55604302634,0,0
55604304142,0,0
55604305165,1,0
55604306605,0,0
55604307484,1,0
55604312444,1,0
55604312545,1,0
55604316686,0,0
55604318677,1,0
55604322795,0,0
55604323662,1,1
55604324076,1,0
55604324393,0,0
55604325516,1,0
55604325765,1,1
55604326416,0,0
55604331117,1,0
55604336950,0,0
55604338365,1,0
55604339852,0,0
55604340030,1,0
55604340614,1,0
55604341222,1,0
55604342540,1,0
55604343202,0,0
55604343383,1,0
55604344045,1,0
55604347286,1,0
55604348917,1,0
55604349200,1,1
55604349255,1,0
55604349312,1,0
55604353733,1,0
55604355973,0,0
55604359504,1,1
55604359865,1,0
55604360616,0,0
55604362845,0,0
55604363385,0,0
55604365152,1,0
55604368706,0,0
55604368955,1,0
55604375751,1,0
55604376774,1,0
55604381363,1,1
55604385907,1,0
55604387743,1,0
55604388236,0,0
55604388261,1,1
55604389734,1,1
55604389925,0,0
55604392862,1,0
55604392884,1,0
55604394615,1,1
55604397441,0,0
55604399500,0,0
55604400035,1,0
55604400240,0,0
55604400385,1,0
55604403524,1,0
55604405562,1,1
55604413031,1,0
55604413785,0,0
55604414076,1,0
55604415620,1,0
55604417327,1,1
55604419840,1,1
55604421164,1,0
55604423605,1,1
55604430704,1,1
55604431200,1,0
55604432403,0,0
55604433675,0,0
55604434801,1,0
55604437141,1,0
